epoch,SPTC,MSTC,not_reached,loss
0,32092.2578,5395.9141,0.0000,37488.1719
1,32087.2129,5390.7119,0.0000,37477.9258
2,32082.2070,5385.5371,0.0000,37467.7422
3,32077.2324,5380.3857,0.0000,37457.6172
4,32072.2969,5375.2607,0.0000,37447.5586
5,32067.3887,5370.1572,0.0000,37437.5469
6,32062.5176,5365.0815,0.0000,37427.5977
7,32057.6816,5360.0322,0.0000,37417.7148
8,32052.8867,5355.0171,0.0000,37407.9023
9,32048.1289,5350.0371,0.0000,37398.1641
10,32043.3984,5345.0957,0.0000,37388.4922
11,32038.7090,5340.1934,0.0000,37378.9023
12,32034.0566,5335.3296,0.0000,37369.3867
13,32029.4375,5330.5020,0.0000,37359.9375
14,32024.8535,5325.7075,0.0000,37350.5625
15,32020.2930,5320.9478,0.0000,37341.2422
16,32015.7754,5316.2173,0.0000,37331.9922
17,32011.2793,5311.5142,0.0000,37322.7930
18,32006.8203,5306.8379,0.0000,37313.6562
19,32002.3945,5302.1875,0.0000,37304.5820
20,31997.9980,5297.5625,0.0000,37295.5625
21,31993.6211,5292.9609,0.0000,37286.5820
22,31989.2832,5288.3823,0.0000,37277.6641
23,31984.9629,5283.8276,0.0000,37268.7891
24,31980.6816,5279.2954,0.0000,37259.9766
25,31976.4297,5274.7871,0.0000,37251.2188
26,31972.1992,5270.3037,0.0000,37242.5039
27,31968.0000,5265.8457,0.0000,37233.8438
28,31963.8340,5261.4126,0.0000,37225.2461
29,31959.6914,5257.0029,0.0000,37216.6953
30,31955.5684,5252.6177,0.0000,37208.1875
31,31951.4785,5248.2544,0.0000,37199.7344
32,31947.4102,5243.9126,0.0000,37191.3242
33,31943.3594,5239.5918,0.0000,37182.9531
34,31939.3281,5235.2915,0.0000,37174.6211
35,31935.3066,5231.0122,0.0000,37166.3203
36,31931.3008,5226.7520,0.0000,37158.0547
37,31927.2930,5222.5127,0.0000,37149.8047
38,31923.2891,5218.2925,0.0000,37141.5820
39,31919.2793,5214.0923,0.0000,37133.3711
40,31915.2598,5209.9111,0.0000,37125.1719
41,31911.2637,5205.7456,0.0000,37117.0078
42,31907.3066,5201.5928,0.0000,37108.8984
43,31903.4141,5197.4497,0.0000,37100.8633
44,31899.5742,5193.3164,0.0000,37092.8906
45,31895.7891,5189.1919,0.0000,37084.9805
46,31892.0488,5185.0786,0.0000,37077.1289
47,31888.3438,5180.9736,0.0000,37069.3164
48,31884.6602,5176.8784,0.0000,37061.5391
49,31881.0137,5172.7930,0.0000,37053.8047
50,31877.3828,5168.7168,0.0000,37046.1016
51,31873.7754,5164.6484,0.0000,37038.4219
52,31870.1875,5160.5864,0.0000,37030.7734
53,31866.6270,5156.5342,0.0000,37023.1602
54,31863.0859,5152.4873,0.0000,37015.5742
55,31859.5508,5148.4468,0.0000,37007.9961
56,31856.0430,5144.4121,0.0000,37000.4531
57,31852.5527,5140.3848,0.0000,36992.9375
58,31849.0762,5136.3628,0.0000,36985.4375
59,31845.6230,5132.3481,0.0000,36977.9727
60,31842.1797,5128.3408,0.0000,36970.5195
61,31838.7637,5124.3428,0.0000,36963.1055
62,31835.3574,5120.3545,0.0000,36955.7109
63,31831.9746,5116.3765,0.0000,36948.3516
64,31828.6191,5112.4116,0.0000,36941.0312
65,31825.2754,5108.4595,0.0000,36933.7344
66,31821.9590,5104.5220,0.0000,36926.4805
67,31818.6602,5100.6011,0.0000,36919.2617
68,31815.3848,5096.6978,0.0000,36912.0820
69,31812.1367,5092.8145,0.0000,36904.9531
70,31808.8984,5088.9517,0.0000,36897.8516
71,31805.6934,5085.1133,0.0000,36890.8047
72,31802.4941,5081.2993,0.0000,36883.7930
73,31799.3262,5077.5132,0.0000,36876.8398
74,31796.1738,5073.7563,0.0000,36869.9297
75,31793.0352,5070.0308,0.0000,36863.0664
76,31789.9102,5066.3379,0.0000,36856.2500
77,31786.8066,5062.6807,0.0000,36849.4883
78,31783.7227,5059.0591,0.0000,36842.7812
79,31780.6367,5055.4741,0.0000,36836.1094
80,31777.5859,5051.9272,0.0000,36829.5117
81,31774.5293,5048.4194,0.0000,36822.9492
82,31771.5020,5044.9512,0.0000,36816.4531
83,31768.4785,5041.5229,0.0000,36810.0000
84,31765.4707,5038.1333,0.0000,36803.6055
85,31762.4824,5034.7842,0.0000,36797.2656
86,31759.5059,5031.4736,0.0000,36790.9805
87,31756.5410,5028.2017,0.0000,36784.7422
88,31753.5879,5024.9683,0.0000,36778.5547
89,31750.6543,5021.7715,0.0000,36772.4258
90,31747.7305,5018.6113,0.0000,36766.3438
91,31744.8184,5015.4868,0.0000,36760.3047
92,31741.9258,5012.3965,0.0000,36754.3203
93,31739.0469,5009.3403,0.0000,36748.3867
94,31736.1777,5006.3159,0.0000,36742.4922
95,31733.3281,5003.3232,0.0000,36736.6523
96,31730.4863,5000.3599,0.0000,36730.8477
97,31727.6680,4997.4268,0.0000,36725.0938
98,31724.8574,4994.5205,0.0000,36719.3789
99,31722.0645,4991.6401,0.0000,36713.7031
100,31719.2852,4988.7861,0.0000,36708.0703
101,31716.5215,4985.9561,0.0000,36702.4766
102,31713.7773,4983.1494,0.0000,36696.9258
103,31711.0352,4980.3643,0.0000,36691.3984
104,31708.3223,4977.6006,0.0000,36685.9219
105,31705.6113,4974.8579,0.0000,36680.4688
106,31702.9238,4972.1362,0.0000,36675.0586
107,31700.2500,4969.4360,0.0000,36669.6875
108,31697.5879,4966.7588,0.0000,36664.3477
109,31694.9375,4964.1045,0.0000,36659.0430
110,31692.2969,4961.4717,0.0000,36653.7695
111,31689.6797,4958.8599,0.0000,36648.5391
112,31687.0684,4956.2705,0.0000,36643.3398
113,31684.4648,4953.6997,0.0000,36638.1641
114,31681.8809,4951.1479,0.0000,36633.0273
