epoch,SPTC,MSTC,loss
0,340866240.0000,2123792.5000,342990048.0000
1,278858944.0000,1799776.0000,280658720.0000
2,224378416.0000,1527474.1250,225905888.0000
3,177384864.0000,1300667.2500,178685536.0000
4,137777056.0000,1112902.1250,138889952.0000
5,105249832.0000,957986.6250,106207816.0000
6,79228608.0000,830323.2500,80058928.0000
7,58920252.0000,725059.9375,59645312.0000
8,43416668.0000,638110.5625,44054780.0000
9,31800426.0000,566099.3750,32366526.0000
10,23226242.0000,506269.2500,23732512.0000
11,16969160.0000,456381.7500,17425542.0000
12,12440581.0000,414624.7812,12855206.0000
13,9181487.0000,379531.4062,9561018.0000
14,6843956.0000,349913.3750,7193869.5000
15,5169541.0000,324806.6250,5494347.5000
16,3969094.5000,303428.0000,4272522.5000
17,3105778.7500,285140.1250,3390919.0000
18,2481550.7500,269423.3125,2750974.0000
19,2026706.2500,255853.1875,2282559.5000
20,1692010.3750,244082.3125,1936092.7500
21,1442842.1250,233825.5156,1676667.6250
22,1254913.6250,224848.0625,1479761.7500
23,1111189.5000,216956.2031,1328145.7500
24,999693.7500,209989.3125,1209683.0000
25,911964.1875,203813.7969,1115778.0000
26,841981.0000,198318.1875,1040299.1875
27,785422.3750,193408.9375,978831.3125
28,739151.9375,189007.3438,928159.2500
29,700870.1250,185046.8438,885917.0000
30,668866.0625,181470.9688,850337.0000
31,641855.7500,178231.5781,820087.3125
32,618860.1875,175287.5000,794147.6875
33,599125.8750,172603.3438,771729.2500
34,582066.1875,170148.6094,752214.8125
35,567218.3750,167896.9062,735115.2500
36,554215.1875,165825.3438,720040.5000
37,542761.2500,163913.9375,706675.1875
38,532617.6875,162145.2500,694762.9375
39,523589.3125,160503.9688,684093.2500
40,515515.0000,158976.6875,674491.6875
41,508262.1250,157551.5156,665813.6250
42,501719.2188,156218.0000,657937.2500
43,495792.9375,154966.8438,650759.7500
44,490404.3438,153789.8125,644194.1250
45,485486.9688,152679.5469,638166.5000
46,480983.0938,151629.5312,632612.6250
47,476844.1562,150633.8750,627478.0000
48,473027.5000,149687.4062,622714.8750
49,469496.7188,148785.4062,618282.1250
50,466220.2500,147923.6875,614143.9375
51,463170.3125,147098.5000,610268.8125
52,460322.8125,146306.4844,606629.3125
53,457656.5000,145544.5938,603201.1250
54,455152.7188,144810.1250,599962.8750
55,452795.0625,144100.6406,596895.6875
56,450568.7812,143414.0000,593982.7500
57,448461.0312,142748.2188,591209.2500
58,446460.4688,142101.5938,588562.0625
59,444556.4688,141472.5469,586029.0000
60,442740.2500,140859.6875,583599.9375
61,441003.4688,140261.7969,581265.2500
62,439338.5938,139677.7500,579016.3750
63,437739.5312,139106.5469,576846.0625
64,436200.0938,138547.2812,574747.3750
65,434715.1562,137999.1250,572714.2500
66,433279.7188,137461.3750,570741.1250
67,431889.5625,136933.3125,568822.8750
68,430541.1875,136414.3750,566955.5625
69,429230.5312,135904.0000,565134.5000
70,427954.7500,135401.7031,563356.4375
71,426711.3438,134907.1094,561618.4375
