epoch,SPTC,MSTC,loss
0,2362449.7500,510306.6250,2872756.5000
1,1711055.2500,438446.5000,2149501.7500
2,1258508.7500,376689.6875,1635198.5000
3,943699.0625,323905.0312,1267604.1250
4,722480.5000,278960.4375,1001440.9375
5,564605.6875,240767.4688,805373.1250
6,449921.0938,208334.6250,658255.7500
7,365105.9062,180795.3438,545901.2500
8,301309.3750,157409.5312,458718.9062
9,252573.7969,137550.9531,390124.7500
10,214820.6719,120690.0156,335510.6875
11,185207.7188,106376.6406,291584.3750
12,161717.7500,94226.2500,255944.0000
13,142894.6250,83908.9453,226803.5625
14,127670.4141,75141.4297,202811.8438
15,115250.6016,67681.0000,182931.5938
16,105036.4844,61320.5664,166357.0469
17,96571.8828,55884.4336,152456.3125
18,89505.7891,51224.3438,140730.1250
19,83565.8438,47215.8438,130781.6875
20,78538.9688,43754.8750,122293.8438
21,74257.4219,40754.7188,115012.1406
22,70588.1016,38143.2109,108731.3125
23,67424.8594,35860.3594,103285.2188
24,64682.4531,33856.2617,98538.7188
25,62291.9492,32089.3730,94381.3203
26,60197.4219,30525.0391,90722.4609
27,58353.1289,29134.2773,87487.4062
28,56721.5000,27892.8027,84614.3047
29,55271.4297,26780.1797,82051.6094
30,53977.1680,25779.1660,79756.3359
31,52817.1562,24875.1641,77692.3203
32,51773.2812,24055.7695,75829.0469
33,50830.3359,23310.4062,74140.7422
34,49975.3867,22630.0273,72605.4141
35,49197.4219,22006.8555,71204.2812
36,48487.0977,21434.1992,69921.2969
37,47836.3281,20906.2676,68742.5938
38,47238.1953,20418.0391,67656.2344
39,46686.6953,19965.1465,66651.8438
40,46176.6328,19543.7754,65720.4062
41,45703.5000,19150.5859,64854.0859
42,45263.3711,18782.6445,64046.0156
43,44852.7773,18437.3750,63290.1523
44,44468.7070,18112.4961,62581.2031
45,44108.5469,17805.9883,61914.5352
46,43769.9141,17516.0742,61285.9883
47,43450.7930,17241.1641,60691.9570
48,43149.3281,16979.8555,60129.1836
49,42863.9062,16730.8945,59594.8008
50,42593.1016,16493.1758,59086.2773
51,42335.6133,16265.7139,58601.3281
52,42090.2656,16047.6338,58137.8984
53,41856.0234,15838.1699,57694.1953
54,41631.9727,15636.6357,57268.6094
55,41417.2500,15442.4326,56859.6836
