epoch,SPTC,MSTC,loss
138,32814.6523,7978.2759,40792.9297
139,32769.5820,7940.6963,40710.2773
140,32725.0645,7903.5859,40628.6484
141,32681.0801,7866.9243,40548.0039
142,32637.6211,7830.6924,40468.3125
143,32594.6797,7794.8740,40389.5547
144,32552.2402,7759.4492,40311.6875
145,32510.3164,7724.4058,40234.7227
146,32468.8965,7689.7300,40158.6250
147,32428.0000,7655.4126,40083.4141
148,32387.6367,7621.4468,40009.0820
149,32347.7910,7587.8291,39935.6211
150,32308.4668,7554.5566,39863.0234
151,32269.6445,7521.6245,39791.2695
152,32231.2930,7489.0327,39720.3242
153,32193.4082,7456.7861,39650.1953
154,32155.9590,7424.8916,39580.8516
155,32118.9395,7393.3564,39512.2969
156,32082.3320,7362.1860,39444.5195
157,32046.1172,7331.3799,39377.4961
158,32010.2891,7300.9316,39311.2188
159,31974.8262,7270.8311,39245.6562
160,31939.7168,7241.0645,39180.7812
161,31904.9219,7211.6201,39116.5430
162,31870.4727,7182.4863,39052.9609
163,31836.3848,7153.6499,38990.0352
164,31802.6816,7125.1040,38927.7852
165,31769.3906,7096.8423,38866.2344
166,31736.5176,7068.8633,38805.3828
167,31704.0312,7041.1670,38745.1992
168,31671.9102,7013.7520,38685.6641
169,31640.1270,6986.6152,38626.7422
170,31608.6641,6959.7549,38568.4180
171,31577.5039,6933.1675,38510.6719
172,31546.6406,6906.8491,38453.4883
173,31516.0430,6880.7949,38396.8359
174,31485.7070,6854.9941,38340.7031
175,31455.6270,6829.4336,38285.0625
176,31425.7969,6804.0991,38229.8945
177,31396.2520,6778.9751,38175.2266
178,31367.0273,6754.0459,38121.0742
179,31338.1582,6729.3027,38067.4609
180,31309.6621,6704.7339,38014.3945
181,31281.5312,6680.3350,37961.8672
182,31253.7402,6656.1104,37909.8516
183,31226.2734,6632.0713,37858.3438
184,31199.1152,6608.2378,37807.3516
185,31172.2305,6584.6328,37756.8633
186,31145.6035,6561.2734,37706.8750
187,31119.2129,6538.1699,37657.3828
188,31093.0605,6515.3262,37608.3867
189,31067.1387,6492.7412,37559.8789
190,31041.4570,6470.4102,37511.8672
191,31016.0215,6448.3281,37464.3516
192,30990.8340,6426.4868,37417.3203
193,30965.8984,6404.8789,37370.7773
194,30941.2246,6383.4971,37324.7227
195,30916.7988,6362.3330,37279.1328
196,30892.6172,6341.3843,37234.0000
197,30868.6777,6320.6514,37189.3281
198,30844.9785,6300.1372,37145.1172
199,30821.4980,6279.8477,37101.3438
200,30798.2363,6259.7871,37058.0234
201,30775.1758,6239.9585,37015.1328
202,30752.3242,6220.3594,36972.6836
203,30729.6621,6200.9834,36930.6445
204,30707.1914,6181.8179,36889.0078
205,30684.9160,6162.8486,36847.7656
206,30662.8340,6144.0615,36806.8945
207,30640.9453,6125.4448,36766.3906
208,30619.2559,6106.9883,36726.2422
209,30597.7695,6088.6846,36686.4531
210,30576.4805,6070.5317,36647.0117
211,30555.3809,6052.5381,36607.9180
212,30534.4590,6034.7095,36569.1680
213,30513.7109,6017.0420,36530.7539
214,30493.1562,5999.5264,36492.6836
215,30472.7871,5982.1528,36454.9414
216,30452.6230,5964.9043,36417.5273
217,30432.6562,5947.7656,36380.4219
218,30412.8945,5930.7231,36343.6172
219,30393.3438,5913.7686,36307.1133
220,30373.9902,5896.9023,36270.8906
221,30354.8242,5880.1299,36234.9531
222,30335.8359,5863.4658,36199.3008
223,30317.0273,5846.9268,36163.9531
224,30298.3672,5830.5312,36128.8984
225,30279.8730,5814.2983,36094.1719
226,30261.5215,5798.2383,36059.7578
227,30243.3203,5782.3564,36025.6758
228,30225.2539,5766.6470,35991.9023
229,30207.3164,5751.1035,35958.4219
230,30189.5117,5735.7148,35925.2266
231,30171.8340,5720.4727,35892.3047
232,30154.2734,5705.3696,35859.6445
233,30136.8340,5690.4009,35827.2344
234,30119.5098,5675.5605,35795.0703
235,30102.3066,5660.8413,35763.1484
236,30085.2305,5646.2354,35731.4648
237,30068.2930,5631.7314,35700.0234
238,30051.5098,5617.3208,35668.8320
239,30034.8730,5602.9971,35637.8711
240,30018.3906,5588.7554,35607.1445
241,30002.0566,5574.5913,35576.6484
242,29985.8652,5560.5034,35546.3672
243,29969.8066,5546.4927,35516.3008
244,29953.8711,5532.5625,35486.4336
245,29938.0469,5518.7217,35456.7695
246,29922.3320,5504.9814,35427.3125
247,29906.7070,5491.3545,35398.0625
248,29891.1504,5477.8516,35369.0000
249,29875.6699,5464.4795,35340.1484
250,29860.2559,5451.2378,35311.4922
251,29844.9121,5438.1250,35283.0391
252,29829.6504,5425.1333,35254.7852
253,29814.4766,5412.2529,35226.7305
254,29799.4062,5399.4731,35198.8789
255,29784.4395,5386.7847,35171.2227
256,29769.5938,5374.1807,35143.7734
257,29754.8711,5361.6577,35116.5273
258,29740.2656,5349.2139,35089.4805
259,29725.7832,5336.8511,35062.6328
260,29711.4238,5324.5698,35035.9922
261,29697.1680,5312.3667,35009.5352
262,29683.0078,5300.2402,34983.2500
263,29668.9453,5288.1855,34957.1328
264,29654.9785,5276.2002,34931.1797
265,29641.0957,5264.2837,34905.3789
266,29627.2891,5252.4395,34879.7266
267,29613.5703,5240.6714,34854.2422
268,29599.9219,5228.9834,34828.9062
269,29586.3496,5217.3774,34803.7266
270,29572.8535,5205.8530,34778.7070
271,29559.4395,5194.4087,34753.8477
272,29546.1191,5183.0420,34729.1602
273,29532.8730,5171.7490,34704.6211
274,29519.7383,5160.5273,34680.2656
275,29506.7031,5149.3740,34656.0781
276,29493.7715,5138.2866,34632.0586
277,29480.9473,5127.2607,34608.2070
278,29468.2324,5116.2949,34584.5273
279,29455.6406,5105.3857,34561.0273
280,29443.1543,5094.5308,34537.6836
281,29430.7793,5083.7310,34514.5117
282,29418.5137,5072.9863,34491.5000
283,29406.3594,5062.3018,34468.6602
284,29394.3281,5051.6816,34446.0078
285,29382.4004,5041.1309,34423.5312
286,29370.5938,5030.6562,34401.2500
287,29358.8906,5020.2607,34379.1523
288,29347.2910,5009.9502,34357.2422
289,29335.7891,4999.7256,34335.5156
290,29324.3770,4989.5869,34313.9648
291,29313.0547,4979.5342,34292.5898
292,29301.8145,4969.5645,34271.3789
293,29290.6504,4959.6787,34250.3281
294,29279.5664,4949.8760,34229.4414
295,29268.5625,4940.1558,34208.7188
296,29257.6250,4930.5176,34188.1406
297,29246.7637,4920.9585,34167.7227
298,29235.9707,4911.4736,34147.4453
299,29225.2480,4902.0566,34127.3047
