epoch,SPTC,MSTC,not_reached,loss
0,29214.5938,4892.7051,11.8290,34119.1250
1,29203.9863,4883.4297,11.7787,34099.1914
2,29193.4395,4874.2324,11.7084,34079.3789
3,29182.9805,4865.1157,11.6211,34059.7188
4,29172.5879,4856.0820,11.5191,34040.1914
5,29162.3027,4847.1318,11.4048,34020.8398
6,29152.0996,4838.2627,11.2803,34001.6445
7,29141.9922,4829.4746,11.1474,33982.6172
8,29131.9707,4820.7656,11.0080,33963.7422
9,29122.0371,4812.1333,10.8635,33945.0352
10,29112.1797,4803.5771,10.7154,33926.4727
11,29102.4004,4795.0918,10.5647,33908.0586
12,29092.6875,4786.6729,10.4128,33889.7734
13,29083.0508,4778.3145,10.2605,33871.6289
14,29073.4785,4770.0117,10.1087,33853.6016
15,29063.9707,4761.7617,9.9581,33835.6914
16,29054.5352,4753.5605,9.8093,33817.9023
17,29045.1621,4745.4092,9.6628,33800.2344
18,29035.8594,4737.3037,9.5189,33782.6836
19,29026.6191,4729.2461,9.3779,33765.2461
20,29017.4473,4721.2334,9.2399,33747.9180
21,29008.3398,4713.2627,9.1051,33730.7070
22,28999.2930,4705.3311,8.9735,33713.5977
23,28990.3105,4697.4360,8.8450,33696.5898
24,28981.3926,4689.5776,8.7196,33679.6875
25,28972.5312,4681.7568,8.5972,33662.8867
26,28963.7363,4673.9766,8.4776,33646.1875
27,28955.0020,4666.2451,8.3607,33629.6055
28,28946.3340,4658.5698,8.2464,33613.1484
29,28937.7383,4650.9575,8.1346,33596.8281
30,28929.2070,4643.4111,8.0253,33580.6406
31,28920.7461,4635.9302,7.9183,33564.5938
32,28912.3379,4628.5151,7.8137,33548.6641
33,28903.9980,4621.1660,7.7113,33532.8750
34,28895.7148,4613.8818,7.6111,33517.2070
35,28887.5078,4606.6592,7.5131,33501.6797
36,28879.3691,4599.4941,7.4171,33486.2812
37,28871.2988,4592.3848,7.3233,33471.0078
38,28863.3008,4585.3291,7.2315,33455.8594
39,28855.3555,4578.3257,7.1418,33440.8203
40,28847.4688,4571.3750,7.0540,33425.8984
41,28839.6289,4564.4717,6.9683,33411.0703
42,28831.8262,4557.6089,6.8846,33396.3164
43,28824.0508,4550.7744,6.8031,33381.6289
44,28816.3066,4543.9565,6.7237,33366.9844
45,28808.5762,4537.1523,6.6464,33352.3711
46,28800.8789,4530.3730,6.5709,33337.8203
47,28793.2305,4523.6445,6.4969,33323.3711
48,28785.6387,4516.9902,6.4236,33309.0508
49,28778.1152,4510.4165,6.3508,33294.8828
50,28770.6621,4503.9165,6.2785,33280.8555
51,28763.2656,4497.4814,6.2070,33266.9531
52,28755.9355,4491.1064,6.1366,33253.1797
53,28748.6660,4484.7871,6.0676,33239.5195
54,28741.4551,4478.5200,6.0003,33225.9766
55,28734.2832,4472.3003,5.9350,33212.5156
56,28727.1582,4466.1221,5.8718,33199.1523
57,28720.0723,4459.9829,5.8107,33185.8672
58,28713.0273,4453.8804,5.7514,33172.6562
59,28706.0449,4447.8120,5.6939,33159.5508
60,28699.1230,4441.7764,5.6379,33146.5352
61,28692.2461,4435.7705,5.5833,33133.5977
62,28685.4316,4429.7900,5.5299,33120.7539
63,28678.6660,4423.8340,5.4777,33107.9766
64,28671.9551,4417.8994,5.4265,33095.2812
65,28665.2891,4411.9844,5.3761,33082.6484
66,28658.6660,4406.0918,5.3263,33070.0859
67,28652.0840,4400.2212,5.2771,33057.5820
68,28645.5449,4394.3740,5.2283,33045.1445
69,28639.0391,4388.5493,5.1796,33032.7695
70,28632.5566,4382.7437,5.1311,33020.4336
71,28626.1211,4376.9531,5.0826,33008.1562
72,28619.7012,4371.1724,5.0340,32995.9102
73,28613.3145,4365.4053,4.9854,32983.7031
74,28606.9688,4359.6616,4.9367,32971.5664
75,28600.6660,4353.9580,4.8880,32959.5117
76,28594.3965,4348.3052,4.8395,32947.5430
77,28588.1758,4342.7041,4.7914,32935.6719
78,28581.9941,4337.1533,4.7440,32923.8906
79,28575.8438,4331.6499,4.6976,32912.1914
