epoch,SPTC,MSTC,loss
0,20692120.0000,1079712.0000,21771832.0000
1,13711453.0000,908101.8750,14619555.0000
2,9158213.0000,764919.2500,9923132.0000
3,6227710.5000,646952.7500,6874663.0000
4,4340468.5000,550495.1875,4890963.5000
5,3111958.7500,471878.5000,3583837.2500
6,2298550.5000,407797.2500,2706347.7500
7,1748982.0000,355436.7500,2104418.7500
8,1369619.5000,312481.3750,1682100.8750
9,1102061.3750,277064.3438,1379125.7500
10,909383.1875,247697.8594,1157081.0000
11,767842.8125,223202.7188,991045.5000
12,661899.0625,202645.8750,864544.9375
13,581191.8750,185288.4688,766480.3750
14,518691.6875,170543.9688,689235.6250
15,469546.0000,157945.1250,627491.1250
16,430350.4062,147117.9844,577468.3750
17,398678.1562,137761.9688,536440.1250
18,372774.0312,129634.1562,502408.1875
19,351350.3125,122537.1953,473887.5000
20,333449.5312,116309.9609,449759.5000
21,318350.7188,110820.1406,429170.8750
22,305504.0312,105958.5312,411462.5625
23,294486.0312,101634.5781,396120.6250
24,284966.5625,97772.7500,382739.3125
25,276685.8125,94309.7812,370995.5938
26,269437.1875,91192.3984,360629.5938
27,263055.0625,88375.5469,351430.6250
28,257405.5156,85820.9688,343226.5000
29,252379.1250,83495.9844,335875.1250
30,247886.0312,81372.6406,329258.6875
31,243851.6094,79426.8516,323278.4688
32,240213.7031,77637.8281,317851.5312
33,236920.1719,75987.5625,312907.7500
34,233926.9062,74460.3906,308387.3125
35,231196.2656,73042.6406,304238.9062
36,228696.4844,71722.3281,300418.8125
37,226400.1094,70488.9453,296889.0625
38,224283.4688,69333.2500,293616.7188
39,222326.1875,68247.0625,290573.2500
40,220510.5469,67223.1875,287733.7500
41,218821.1406,66255.2266,285076.3750
42,217244.5781,65337.5234,282582.0938
43,215768.8906,64465.0703,280233.9688
44,214383.8438,63633.4297,278017.2812
45,213080.3906,62838.6758,275919.0625
46,211850.2188,62077.3516,273927.5625
47,210686.5156,61346.4141,272032.9375
48,209582.6406,60643.1953,270225.8438
49,208533.0469,59965.3516,268498.4062
50,207532.6094,59310.8672,266843.4688
51,206577.0781,58677.9570,265255.0312
52,205662.2188,58065.0977,263727.3125
53,204784.5000,57470.9453,262255.4375
54,203940.6562,56894.3320,260834.9844
55,203127.9219,56334.2188,259462.1406
56,202343.5938,55789.6914,258133.2812
57,201585.4688,55259.9102,256845.3750
58,200851.4219,54744.1094,255595.5312
59,200139.5469,54241.5625,254381.1094
60,199448.3750,53751.5977,253199.9688
61,198776.1562,53273.5547,252049.7188
62,198121.6719,52806.8203,250928.5000
63,197483.6406,52350.7969,249834.4375
64,196861.0312,51904.9219,248765.9531
65,196252.7812,51468.6719,247721.4531
66,195658.0312,51041.5625,246699.5938
67,195075.8125,50623.1641,245698.9688
68,194505.4844,50213.1016,244718.5938
69,193946.4062,49811.0391,243757.4375
70,193397.7188,49416.7266,242814.4375
71,192858.9531,49029.9141,241888.8750
72,192329.5781,48650.4180,240980.0000
73,191808.9844,48278.0547,240087.0312
74,191296.9062,47912.6641,239209.5625
75,190792.7656,47554.0625,238346.8281
76,190296.1875,47202.0625,237498.2500
77,189806.9375,46856.4805,236663.4219
78,189324.5781,46517.0938,235841.6719
79,188848.9062,46183.7031,235032.6094
80,188379.7656,45856.0820,234235.8438
81,187916.6875,45534.0273,233450.7188
82,187459.7188,45217.3398,232677.0625
83,187008.5625,44905.8203,231914.3750
84,186563.2656,44599.2891,231162.5625
85,186123.4375,44297.5703,230421.0000
86,185689.1875,44000.5195,229689.7031
87,185260.2500,43707.9883,228968.2344
88,184836.6094,43419.8633,228256.4688
89,184418.1562,43136.0586,227554.2188
90,184004.9688,42856.5078,226861.4688
91,183596.6250,42581.1875,226177.8125
92,183193.2500,42310.0781,225503.3281
93,182794.6406,42043.1797,224837.8125
94,182400.6562,41780.5000,224181.1562
95,182011.0938,41522.0156,223533.1094
96,181626.1406,41267.7031,222893.8438
97,181245.5000,41017.5039,222263.0000
98,180869.0469,40771.3203,221640.3750
99,180496.7812,40529.0391,221025.8125
100,180128.7656,40290.5078,220419.2812
101,179764.7969,40055.5625,219820.3594
102,179404.8906,39824.0273,219228.9219
103,179049.0938,39595.7188,218644.8125
104,178697.2500,39370.4570,218067.7031
105,178349.3906,39148.0625,217497.4531
106,178005.4062,38928.3594,216933.7656
107,177665.2656,38711.2109,216376.4688
108,177328.9844,38496.4688,215825.4531
109,176996.4062,38284.0156,215280.4219
