epoch,SPTC,MSTC,loss
0,12428454.0000,1076763.7500,13505218.0000
1,8319091.5000,919858.0625,9238950.0000
2,5626911.5000,785050.1875,6411961.5000
3,3882769.7500,670564.6875,4553334.5000
4,2750124.7500,574107.5000,3324232.2500
5,2005438.8750,493231.7188,2498670.5000
6,1506578.5000,425597.1875,1932175.7500
7,1164921.3750,369098.7500,1534020.1250
8,925397.4375,321906.3750,1247303.7500
9,753541.4375,282459.3125,1036000.7500
10,627483.7500,249441.2812,876925.0000
11,533102.0000,221749.8750,754851.8750
12,461094.5000,198466.4844,659561.0000
13,405210.8438,178829.1562,584040.0000
14,361164.3438,162208.1719,523372.5000
15,325957.6875,148084.8125,474042.5000
16,297456.8750,136032.8750,433489.7500
17,274116.4375,125702.7344,399819.1875
18,254799.0938,116807.6406,371606.7500
19,238656.2344,109112.5156,347768.7500
20,225045.9844,102424.3594,327470.3438
21,213476.7656,96584.4141,310061.1875
22,203568.0625,91461.7812,295029.8438
23,195022.0312,86948.2344,281970.2500
24,187603.3281,82953.9688,270557.3125
25,181124.3750,79404.2266,260528.5938
26,175434.2344,76236.5234,251670.7500
27,170410.7188,73398.4297,243809.1562
28,165953.8906,70845.7734,236799.6562
29,161981.4531,68541.2031,230522.6562
30,158425.6562,66453.0000,224878.6562
31,155229.6094,64554.1406,219783.7500
32,152345.9375,62821.4844,215167.4219
33,149734.5625,61235.1602,210969.7188
34,147361.2812,59778.0312,207139.3125
35,145197.3750,58435.3047,203632.6875
36,143217.9844,57194.1016,200412.0938
37,141401.5781,56043.2461,197444.8281
38,139729.8438,54972.9531,194702.7969
39,138186.6719,53974.6719,192161.3438
40,136758.0938,53040.8828,189798.9688
41,135431.9688,52164.9844,187596.9531
42,134197.5469,51341.1250,185538.6719
43,133045.2969,50564.1484,183609.4375
44,131967.0312,49829.4844,181796.5156
45,130955.2656,49133.0703,180088.3438
46,130003.5312,48471.2891,178474.8125
47,129106.0234,47840.9375,176946.9688
48,128257.5703,47239.1523,175496.7188
49,127453.5625,46663.3750,174116.9375
50,126689.9453,46111.3281,172801.2812
51,125962.9531,45580.9883,171543.9375
52,125269.3516,45070.5391,170339.8906
53,124606.1797,44578.3750,169184.5625
54,123970.7812,44103.0547,168073.8438
55,123360.7656,43643.3086,167004.0781
56,122773.9922,43197.9883,165971.9844
57,122208.5234,42766.0859,164974.6094
58,121662.6016,42346.6953,164009.2969
59,121134.7031,41939.0000,163073.7031
60,120623.3984,41542.2656,162165.6562
61,120127.4062,41155.8281,161283.2344
62,119645.5938,40779.0977,160424.6875
63,119176.9609,40411.5156,159588.4688
64,118720.4922,40052.5703,158773.0625
65,118275.4453,39701.8086,157977.2500
66,117841.0156,39358.7930,157199.8125
67,117416.5078,39023.1367,156439.6406
68,117001.3203,38694.4766,155695.7969
69,116594.8281,38372.4766,154967.3125
70,116196.6562,38056.8398,154253.5000
71,115806.2031,37747.2930,153553.5000
72,115423.0625,37443.5820,152866.6406
73,115046.8828,37145.4766,152192.3594
74,114677.3125,36852.7734,151530.0938
75,114314.0156,36565.2812,150879.2969
76,113956.6562,36282.8086,150239.4688
77,113604.9844,36005.1953,149610.1875
78,113258.7578,35732.2656,148991.0312
79,112917.7422,35463.8633,148381.6094
80,112581.7188,35199.8203,147781.5312
81,112250.5000,34939.9922,147190.5000
82,111923.8906,34684.2266,146608.1250
83,111601.7969,34432.3867,146034.1875
84,111284.0156,34184.3555,145468.3750
85,110970.4766,33940.0195,144910.5000
86,110661.0625,33699.2891,144360.3438
87,110355.6719,33462.0859,143817.7500
88,110054.2578,33228.3555,143282.6094
89,109756.6641,32998.0469,142754.7188
90,109462.9375,32771.1289,142234.0625
91,109172.8828,32547.5625,141720.4375
92,108886.5078,32327.3184,141213.8281
93,108603.7344,32110.3594,140714.0938
94,108324.5156,31896.6367,140221.1562
95,108048.7891,31686.0938,139734.8750
96,107776.5000,31478.6582,139255.1562
97,107507.5938,31274.2500,138781.8438
98,107241.9766,31072.7773,138314.7500
99,106979.6406,30874.1523,137853.7969
100,106720.4922,30678.2930,137398.7812
101,106464.4844,30485.1172,136949.5938
102,106211.5078,30294.5664,136506.0781
103,105961.4922,30106.5996,136068.0938
104,105714.3828,29921.1719,135635.5625
105,105470.0703,29738.2656,135208.3438
106,105228.5156,29557.8555,134786.3750
107,104989.6172,29379.9180,134369.5312
108,104753.2969,29204.4238,133957.7188
109,104519.5156,29031.3242,133550.8438
110,104288.1953,28860.5625,133148.7500
111,104059.2734,28692.0742,132751.3438
112,103832.6641,28525.7930,132358.4531
113,103608.3594,28361.6406,131970.0000
114,103386.2578,28199.5430,131585.7969
115,103166.3359,28039.4258,131205.7656
116,102948.5234,27881.2227,130829.7500
117,102732.8125,27724.8750,130457.6875
118,102519.1094,27570.3125,130089.4219
119,102307.4609,27417.4883,129724.9531
120,102097.7656,27266.3574,129364.1250
121,101890.0391,27116.8672,129006.9062
