epoch,SPTC,MSTC,loss
0,4705930.0000,684816.0000,5390746.0000
1,3355328.0000,588546.0000,3943874.0000
2,2410282.0000,504481.8125,2914763.7500
3,1755126.7500,432036.4688,2187163.2500
4,1301399.1250,370241.0312,1671640.1250
5,985378.4375,317929.8438,1303308.2500
6,762907.2500,273884.2188,1036791.5000
7,604079.2500,236926.6094,841005.8750
8,488862.2812,205974.5625,694836.8750
9,403867.5938,180066.0312,583933.6250
10,340107.9688,158366.0625,498474.0312
11,291497.0312,140162.5938,431659.6250
12,253863.4844,124856.1562,378719.6250
13,224308.9531,111946.9922,336255.9375
14,200790.0156,101021.3047,301811.3125
15,181844.5625,91738.2344,273582.8125
16,166411.2031,83817.8281,250229.0312
17,153708.3281,77030.5312,230738.8594
18,143153.1094,71188.2031,214341.3125
19,134305.1875,66136.5234,200441.7188
20,126828.0547,61748.7734,188576.8281
21,120461.6484,57920.6250,178382.2812
22,115003.0703,54565.9922,169569.0625
23,110292.2344,51613.6172,161905.8438
24,106202.1250,49004.3086,155206.4375
25,102630.6875,46688.7539,149319.4375
26,99495.4531,44625.6875,144121.1406
27,96729.3594,42780.4648,139509.8281
28,94277.2891,41123.8828,135401.1719
29,92093.9219,39631.2422,131725.1562
30,90141.3984,38281.5625,128422.9609
31,88388.2578,37056.9531,125445.2109
32,86808.1250,35942.1172,122750.2422
33,85378.5078,34923.9297,120302.4375
34,84080.5391,33991.0625,118071.6016
35,82897.9609,33133.7500,116031.7109
36,81817.0312,32343.5059,114160.5391
37,80825.8047,31612.9648,112438.7656
38,79913.9844,30935.6914,110849.6719
39,79072.7188,30306.0664,109378.7812
40,78294.2812,29719.1621,108013.4453
41,77571.9219,29170.6406,106742.5625
42,76899.7578,28656.6758,105556.4375
43,76272.5859,28173.9023,104446.4844
44,75685.8828,27719.3242,103405.2031
45,75135.6250,27290.2930,102425.9219
46,74618.2656,26884.4375,101502.7031
47,74130.6797,26499.6621,100630.3438
48,73670.0391,26134.0840,99804.1250
49,73233.8906,25786.0176,99019.9062
50,72820.0156,25453.9570,98273.9688
51,72426.4062,25136.5547,97562.9609
52,72051.3047,24832.5781,96883.8828
53,71693.1406,24540.9492,96234.0938
54,71350.4766,24260.6680,95611.1406
55,71022.0547,23990.8613,95012.9141
56,70706.7031,23730.7188,94437.4219
57,70403.4141,23479.5195,93882.9375
58,70111.2734,23236.6133,93347.8906
59,69829.3672,23001.4180,92830.7812
60,69557.0625,22773.4004,92330.4609
61,69293.5781,22552.0781,91845.6562
62,69038.3359,22337.0215,91375.3594
63,68790.7891,22127.8340,90918.6250
64,68550.3984,21924.1582,90474.5547
65,68316.7266,21725.6641,90042.3906
66,68089.3594,21532.0508,89621.4062
67,67867.9297,21343.0352,89210.9688
68,67652.0312,21158.3672,88810.3984
