epoch,SPTC,MSTC,loss
0,27634670.0000,1264505.5000,28899176.0000
1,18633844.0000,1066294.6250,19700138.0000
2,12644719.0000,901162.1250,13545881.0000
3,8709317.0000,765040.2500,9474357.0000
4,6124987.0000,653483.5000,6778470.5000
5,4413457.5000,562227.0000,4975684.5000
6,3263729.5000,487498.0625,3751227.5000
7,2478017.0000,426121.8750,2904139.0000
8,1931186.5000,375504.5312,2306691.0000
9,1543594.3750,333559.8750,1877154.2500
10,1263920.8750,298622.7812,1562543.6250
11,1058595.5000,269366.8750,1327962.3750
12,905307.9375,244735.1094,1150043.0000
13,789006.3750,223883.2500,1012889.6250
14,699385.7500,206135.1875,905520.9375
15,629293.6250,190947.5625,820241.1875
16,573698.6250,177882.1719,751580.8125
17,529015.5625,166584.3438,695599.8750
18,492655.6562,156765.7188,649421.3750
19,462726.5938,148190.9688,610917.5625
20,437827.8125,140667.1562,578495.0000
21,416909.5938,134035.2969,550944.8750
22,399176.0000,128163.9844,527340.0000
23,384016.9688,122943.9141,506960.8750
24,370958.8750,118283.8594,489242.7500
25,359630.6562,114107.2891,473737.9375
26,349738.7812,110349.7266,460088.5000
27,341048.5000,106956.6250,448005.1250
28,333370.3750,103881.5938,437251.9688
29,326550.2188,101085.0703,427635.2812
30,320461.7188,98533.1719,418994.8750
31,315000.7812,96196.7188,411197.5000
32,310080.1250,94050.5781,404130.6875
33,305627.5625,92072.9453,397700.5000
34,301581.6250,90244.8906,391826.5000
35,297891.0312,88549.9062,386440.9375
36,294511.5000,86973.5312,381485.0312
37,291406.4688,85503.1172,376909.5938
38,288543.5625,84127.5078,372671.0625
39,285895.6250,82836.8906,368732.5000
40,283439.0625,81622.5859,365061.6562
41,281153.5312,80476.9062,361630.4375
42,279021.5000,79393.0625,358414.5625
43,277027.3438,78365.0000,355392.3438
44,275157.6250,77387.3672,352545.0000
45,273400.2812,76455.3750,349855.6562
46,271744.5625,75564.7891,347309.3438
47,270181.1875,74711.8047,344893.0000
48,268701.3125,73893.0469,342594.3750
49,267297.5625,73105.5000,340403.0625
50,265962.8750,72346.4688,338309.3438
