epoch,SPTC,MSTC,not_reached,loss
0,82279.6797,13696.6465,0.0000,95976.3281
1,82239.0000,13668.7324,0.0000,95907.7344
2,82198.5938,13641.0234,0.0000,95839.6172
3,82158.4609,13613.5186,0.0000,95771.9766
4,82118.6172,13586.2295,0.0000,95704.8438
5,82079.0469,13559.1621,0.0000,95638.2109
6,82039.7500,13532.3223,0.0000,95572.0703
7,82000.7812,13505.7119,0.0000,95506.4922
8,81962.0781,13479.3262,0.0000,95441.4062
9,81923.6875,13453.1602,0.0000,95376.8438
10,81885.5703,13427.2012,0.0000,95312.7734
11,81847.7344,13401.4375,0.0000,95249.1719
12,81810.1953,13375.8643,0.0000,95186.0625
13,81772.9062,13350.4697,0.0000,95123.3750
14,81735.8750,13325.2480,0.0000,95061.1250
15,81699.0625,13300.1943,0.0000,94999.2578
16,81662.4766,13275.3047,0.0000,94937.7812
17,81626.0938,13250.5723,0.0000,94876.6641
18,81589.9453,13225.9961,0.0000,94815.9375
19,81554.0469,13201.5742,0.0000,94755.6250
20,81518.3516,13177.3076,0.0000,94695.6562
21,81482.9062,13153.1953,0.0000,94636.1016
22,81447.6875,13129.2344,0.0000,94576.9219
23,81412.7031,13105.4277,0.0000,94518.1328
24,81377.9844,13081.7676,0.0000,94459.7500
25,81343.4844,13058.2529,0.0000,94401.7344
26,81309.2188,13034.8809,0.0000,94344.1016
27,81275.1719,13011.6621,0.0000,94286.8359
28,81241.4062,12988.6094,0.0000,94230.0156
29,81207.8750,12965.7363,0.0000,94173.6094
30,81174.5859,12943.0391,0.0000,94117.6250
31,81141.5938,12920.5098,0.0000,94062.1016
32,81108.8359,12898.1348,0.0000,94006.9688
33,81076.3125,12875.9023,0.0000,93952.2188
34,81044.0000,12853.8096,0.0000,93897.8125
35,81011.9219,12831.8506,0.0000,93843.7734
36,80980.0078,12810.0254,0.0000,93790.0312
37,80948.3359,12788.3281,0.0000,93736.6641
38,80916.8516,12766.7559,0.0000,93683.6094
39,80885.6094,12745.3086,0.0000,93630.9219
40,80854.5703,12723.9834,0.0000,93578.5547
41,80823.7344,12702.7764,0.0000,93526.5078
42,80793.0781,12681.6816,0.0000,93474.7578
43,80762.5859,12660.6963,0.0000,93423.2812
44,80732.2891,12639.8145,0.0000,93372.1016
45,80702.1250,12619.0391,0.0000,93321.1641
46,80672.1406,12598.3643,0.0000,93270.5078
47,80642.2891,12577.7891,0.0000,93220.0781
48,80612.5938,12557.3057,0.0000,93169.8984
49,80583.0469,12536.9043,0.0000,93119.9531
50,80553.6406,12516.5820,0.0000,93070.2188
51,80524.3984,12496.3457,0.0000,93020.7422
52,80495.2969,12476.2109,0.0000,92971.5078
53,80466.4609,12456.1973,0.0000,92922.6562
54,80437.8125,12436.3115,0.0000,92874.1250
55,80409.4141,12416.5664,0.0000,92825.9844
56,80381.2109,12396.9492,0.0000,92778.1562
57,80353.2344,12377.4531,0.0000,92730.6875
58,80325.3828,12358.0684,0.0000,92683.4531
59,80297.7188,12338.7881,0.0000,92636.5078
60,80270.2109,12319.6133,0.0000,92589.8281
61,80242.8594,12300.5420,0.0000,92543.3984
62,80215.6328,12281.5771,0.0000,92497.2109
63,80188.5703,12262.7197,0.0000,92451.2891
64,80161.6484,12243.9697,0.0000,92405.6172
65,80134.9297,12225.3242,0.0000,92360.2500
66,80108.3984,12206.7734,0.0000,92315.1719
67,80082.0234,12188.3125,0.0000,92270.3359
68,80055.8828,12169.9355,0.0000,92225.8203
69,80029.8984,12151.6387,0.0000,92181.5391
70,80004.1172,12133.4189,0.0000,92137.5391
71,79978.5078,12115.2734,0.0000,92093.7812
72,79953.0391,12097.1992,0.0000,92050.2344
73,79927.7656,12079.1953,0.0000,92006.9609
74,79902.6328,12061.2656,0.0000,91963.8984
75,79877.6406,12043.4141,0.0000,91921.0547
76,79852.8047,12025.6494,0.0000,91878.4531
77,79828.1406,12007.9756,0.0000,91836.1172
78,79803.5625,11990.4014,0.0000,91793.9609
79,79779.1250,11972.9336,0.0000,91752.0625
80,79754.8359,11955.5781,0.0000,91710.4141
81,79730.6719,11938.3340,0.0000,91669.0078
82,79706.6484,11921.1973,0.0000,91627.8438
83,79682.7031,11904.1553,0.0000,91586.8594
84,79658.9219,11887.2012,0.0000,91546.1250
85,79635.2500,11870.3320,0.0000,91505.5781
86,79611.7031,11853.5400,0.0000,91465.2422
87,79588.2578,11836.8223,0.0000,91425.0781
88,79565.0156,11820.1729,0.0000,91385.1875
89,79541.8438,11803.5898,0.0000,91345.4375
90,79518.8359,11787.0605,0.0000,91305.8984
91,79495.9609,11770.5781,0.0000,91266.5391
92,79473.2344,11754.1289,0.0000,91227.3594
93,79450.6719,11737.7012,0.0000,91188.3750
94,79428.1719,11721.2773,0.0000,91149.4531
95,79405.9062,11704.8477,0.0000,91110.7500
96,79383.7344,11688.4043,0.0000,91072.1406
97,79361.7812,11671.9512,0.0000,91033.7344
98,79339.9219,11655.4961,0.0000,90995.4219
99,79318.2422,11639.0596,0.0000,90957.3047
100,79296.6875,11622.6680,0.0000,90919.3594
101,79275.1719,11606.3613,0.0000,90881.5312
102,79253.7188,11590.1777,0.0000,90843.8984
103,79232.2266,11574.1514,0.0000,90806.3750
104,79210.6797,11558.3027,0.0000,90768.9844
105,79189.0781,11542.6396,0.0000,90731.7188
106,79167.4219,11527.1504,0.0000,90694.5703
107,79145.7344,11511.8193,0.0000,90657.5547
108,79124.1406,11496.6250,0.0000,90620.7656
109,79102.7188,11481.5479,0.0000,90584.2656
110,79081.5156,11466.5703,0.0000,90548.0859
111,79060.5625,11451.6895,0.0000,90512.2500
112,79039.7734,11436.8984,0.0000,90476.6719
113,79019.1016,11422.1934,0.0000,90441.2969
114,78998.6016,11407.5684,0.0000,90406.1719
115,78978.1484,11393.0195,0.0000,90371.1719
116,78957.7969,11378.5430,0.0000,90336.3438
117,78937.5234,11364.1328,0.0000,90301.6562
118,78917.3047,11349.7910,0.0000,90267.0938
119,78897.1328,11335.5195,0.0000,90232.6562
120,78877.0312,11321.3184,0.0000,90198.3516
121,78856.9766,11307.1904,0.0000,90164.1641
122,78836.9688,11293.1260,0.0000,90130.0938
123,78817.0469,11279.1191,0.0000,90096.1641
124,78797.1797,11265.1582,0.0000,90062.3359
125,78777.4844,11251.2354,0.0000,90028.7188
126,78757.9141,11237.3438,0.0000,89995.2578
127,78738.4453,11223.4785,0.0000,89961.9219
128,78719.1562,11209.6387,0.0000,89928.7969
129,78699.9453,11195.8232,0.0000,89895.7656
130,78680.8828,11182.0488,0.0000,89862.9297
131,78661.9531,11168.3438,0.0000,89830.2969
132,78643.2109,11154.7324,0.0000,89797.9453
133,78624.5781,11141.2246,0.0000,89765.8047
134,78606.1172,11127.8145,0.0000,89733.9297
135,78587.7422,11114.4834,0.0000,89702.2266
136,78569.5391,11101.2217,0.0000,89670.7578
137,78551.4453,11088.0176,0.0000,89639.4609
138,78533.4219,11074.8682,0.0000,89608.2891
139,78515.5078,11061.7734,0.0000,89577.2812
140,78497.6953,11048.7324,0.0000,89546.4297
141,78479.9531,11035.7529,0.0000,89515.7031
142,78462.3125,11022.8379,0.0000,89485.1484
143,78444.6797,11009.9883,0.0000,89454.6719
144,78427.1250,10997.2051,0.0000,89424.3281
145,78409.6250,10984.4873,0.0000,89394.1094
146,78392.1406,10971.8291,0.0000,89363.9688
147,78374.6953,10959.2256,0.0000,89333.9219
148,78357.3281,10946.6680,0.0000,89304.0000
149,78340.0156,10934.1504,0.0000,89274.1641
150,78322.8750,10921.6602,0.0000,89244.5312
151,78305.8125,10909.1914,0.0000,89215.0000
152,78288.9062,10896.7480,0.0000,89185.6562
153,78272.1250,10884.3379,0.0000,89156.4609
154,78255.4453,10871.9678,0.0000,89127.4141
155,78238.8438,10859.6484,0.0000,89098.4922
156,78222.3438,10847.3770,0.0000,89069.7188
157,78205.9297,10835.1494,0.0000,89041.0781
158,78189.5859,10822.9629,0.0000,89012.5469
159,78173.3438,10810.8184,0.0000,88984.1641
160,78157.1562,10798.7256,0.0000,88955.8828
161,78141.0312,10786.6904,0.0000,88927.7188
162,78124.9688,10774.7236,0.0000,88899.6953
163,78108.9531,10762.8203,0.0000,88871.7734
164,78093.1016,10750.9805,0.0000,88844.0781
165,78077.2734,10739.1963,0.0000,88816.4688
166,78061.5469,10727.4590,0.0000,88789.0078
167,78045.8516,10715.7588,0.0000,88761.6094
168,78030.1953,10704.0918,0.0000,88734.2891
169,78014.5859,10692.4482,0.0000,88707.0312
170,77999.0547,10680.8252,0.0000,88679.8828
171,77983.6328,10669.2207,0.0000,88652.8516
172,77968.3047,10657.6484,0.0000,88625.9531
173,77953.0625,10646.1230,0.0000,88599.1875
174,77937.8750,10634.6504,0.0000,88572.5234
175,77922.7109,10623.2383,0.0000,88545.9531
176,77907.5938,10611.8867,0.0000,88519.4844
177,77892.4453,10600.5938,0.0000,88493.0391
178,77877.3750,10589.3613,0.0000,88466.7344
179,77862.3047,10578.1982,0.0000,88440.5000
180,77847.2969,10567.1094,0.0000,88414.4062
181,77832.3906,10556.0996,0.0000,88388.4922
182,77817.6094,10545.1670,0.0000,88362.7734
183,77802.9141,10534.3018,0.0000,88337.2188
184,77788.3047,10523.4961,0.0000,88311.7969
185,77773.7734,10512.7461,0.0000,88286.5156
186,77759.3438,10502.0479,0.0000,88261.3906
187,77744.9453,10491.4004,0.0000,88236.3438
188,77730.6250,10480.8008,0.0000,88211.4219
189,77716.4062,10470.2500,0.0000,88186.6562
190,77702.2891,10459.7402,0.0000,88162.0312
191,77688.2656,10449.2646,0.0000,88137.5312
192,77674.3359,10438.8154,0.0000,88113.1484
193,77660.4688,10428.3828,0.0000,88088.8516
194,77646.6719,10417.9570,0.0000,88064.6250
195,77632.9141,10407.5322,0.0000,88040.4453
196,77619.2188,10397.1113,0.0000,88016.3281
197,77605.5234,10386.7070,0.0000,87992.2344
198,77591.8750,10376.3457,0.0000,87968.2188
199,77578.2734,10366.0547,0.0000,87944.3281
200,77564.6797,10355.8506,0.0000,87920.5312
201,77551.1719,10345.7236,0.0000,87896.8984
202,77537.6797,10335.6543,0.0000,87873.3359
203,77524.2656,10325.6309,0.0000,87849.8984
204,77510.9844,10315.6553,0.0000,87826.6406
205,77497.8516,10305.7314,0.0000,87803.5859
206,77484.8203,10295.8604,0.0000,87780.6797
207,77471.9141,10286.0430,0.0000,87757.9531
208,77459.0859,10276.2754,0.0000,87735.3594
209,77446.2969,10266.5645,0.0000,87712.8594
210,77433.6016,10256.9160,0.0000,87690.5156
211,77420.9609,10247.3301,0.0000,87668.2891
212,77408.3672,10237.8047,0.0000,87646.1719
213,77395.8359,10228.3340,0.0000,87624.1719
214,77383.3359,10218.9062,0.0000,87602.2422
215,77370.8984,10209.5195,0.0000,87580.4219
216,77358.5312,10200.1680,0.0000,87558.7031
217,77346.1953,10190.8506,0.0000,87537.0469
218,77333.9297,10181.5625,0.0000,87515.4922
219,77321.6953,10172.3008,0.0000,87494.0000
220,77309.5000,10163.0625,0.0000,87472.5625
221,77297.3750,10153.8447,0.0000,87451.2188
222,77285.2812,10144.6445,0.0000,87429.9219
223,77273.2500,10135.4551,0.0000,87408.7031
224,77261.2578,10126.2744,0.0000,87387.5312
225,77249.3047,10117.0996,0.0000,87366.4062
226,77237.3906,10107.9277,0.0000,87345.3203
227,77225.4922,10098.7627,0.0000,87324.2578
228,77213.6328,10089.6064,0.0000,87303.2422
229,77201.7656,10080.4658,0.0000,87282.2344
230,77189.9219,10071.3457,0.0000,87261.2656
231,77178.1016,10062.2500,0.0000,87240.3516
232,77166.2891,10053.1865,0.0000,87219.4766
233,77154.5469,10044.1689,0.0000,87198.7188
234,77142.8672,10035.1973,0.0000,87178.0625
235,77131.2422,10026.2744,0.0000,87157.5156
236,77119.7344,10017.4004,0.0000,87137.1328
237,77108.2812,10008.5762,0.0000,87116.8594
238,77096.9141,9999.8037,0.0000,87096.7188
239,77085.6094,9991.0801,0.0000,87076.6875
240,77074.2500,9982.3984,0.0000,87056.6484
241,77062.9375,9973.7559,0.0000,87036.6953
242,77051.6094,9965.1523,0.0000,87016.7656
243,77040.3438,9956.6006,0.0000,86996.9453
244,77029.1797,9948.1152,0.0000,86977.2969
245,77018.1016,9939.6992,0.0000,86957.7969
246,77007.0781,9931.3516,0.0000,86938.4297
247,76996.1250,9923.0664,0.0000,86919.1875
248,76985.1953,9914.8398,0.0000,86900.0312
249,76974.3438,9906.6631,0.0000,86881.0078
250,76963.4766,9898.5400,0.0000,86862.0156
251,76952.6875,9890.4629,0.0000,86843.1484
252,76941.9141,9882.4316,0.0000,86824.3438
253,76931.2031,9874.4434,0.0000,86805.6484
254,76920.5703,9866.4941,0.0000,86787.0625
255,76909.9453,9858.5801,0.0000,86768.5234
256,76899.3672,9850.6973,0.0000,86750.0625
257,76888.8203,9842.8418,0.0000,86731.6641
258,76878.3125,9835.0088,0.0000,86713.3203
259,76867.8750,9827.2002,0.0000,86695.0781
260,76857.4219,9819.4189,0.0000,86676.8438
261,76847.0234,9811.6729,0.0000,86658.6953
262,76836.6250,9803.9707,0.0000,86640.5938
263,76826.2344,9796.3184,0.0000,86622.5547
264,76815.8672,9788.7197,0.0000,86604.5859
265,76805.5156,9781.1758,0.0000,86586.6875
