epoch,SPTC,MSTC,not_reached,loss
0,29408.7695,4055.7390,0.0000,33464.5078
1,29395.5020,4048.4451,0.0000,33443.9453
2,29381.7695,4041.3398,0.0000,33423.1094
3,29368.2285,4034.4146,0.0000,33402.6445
4,29355.3086,4027.6497,0.0000,33382.9570
5,29343.1074,4021.0244,0.0000,33364.1328
6,29331.5078,4014.5210,0.0000,33346.0273
7,29320.3418,4008.1272,0.0000,33328.4688
8,29309.4531,4001.8335,0.0000,33311.2852
9,29298.7520,3995.6331,0.0000,33294.3867
10,29288.1699,3989.5198,0.0000,33277.6914
11,29277.6719,3983.4897,0.0000,33261.1602
12,29267.2246,3977.5388,0.0000,33244.7617
13,29256.8340,3971.6633,0.0000,33228.4961
14,29246.4902,3965.8606,0.0000,33212.3516
15,29236.2012,3960.1284,0.0000,33196.3281
16,29225.9805,3954.4648,0.0000,33180.4453
17,29215.8281,3948.8696,0.0000,33164.6992
18,29205.7246,3943.3418,0.0000,33149.0664
19,29195.6602,3937.8816,0.0000,33133.5430
20,29185.6289,3932.4895,0.0000,33118.1172
21,29175.5957,3927.1646,0.0000,33102.7617
22,29165.5820,3921.9038,0.0000,33087.4844
23,29155.5840,3916.7039,0.0000,33072.2891
24,29145.6094,3911.5581,0.0000,33057.1680
25,29135.6758,3906.4600,0.0000,33042.1367
26,29125.7852,3901.4048,0.0000,33027.1914
27,29115.9473,3896.3862,0.0000,33012.3320
28,29106.1797,3891.3994,0.0000,32997.5781
29,29096.5117,3886.4375,0.0000,32982.9492
30,29086.9492,3881.4956,0.0000,32968.4453
31,29077.5000,3876.5757,0.0000,32954.0742
32,29068.1543,3871.6790,0.0000,32939.8320
33,29058.8926,3866.8096,0.0000,32925.7031
34,29049.7305,3861.9673,0.0000,32911.6992
35,29040.6582,3857.1494,0.0000,32897.8086
36,29031.7051,3852.3525,0.0000,32884.0586
37,29022.8594,3847.5747,0.0000,32870.4336
38,29014.1230,3842.8174,0.0000,32856.9414
39,29005.4766,3838.0820,0.0000,32843.5586
40,28996.9062,3833.3716,0.0000,32830.2773
41,28988.4023,3828.6875,0.0000,32817.0898
42,28979.9609,3824.0322,0.0000,32803.9922
43,28971.5625,3819.4060,0.0000,32790.9688
44,28963.2031,3814.8101,0.0000,32778.0117
45,28954.8828,3810.2463,0.0000,32765.1289
46,28946.5840,3805.7153,0.0000,32752.2988
47,28938.3027,3801.2180,0.0000,32739.5215
48,28930.0195,3796.7563,0.0000,32726.7754
49,28921.7324,3792.3301,0.0000,32714.0625
50,28913.4336,3787.9399,0.0000,32701.3730
51,28905.1406,3783.5818,0.0000,32688.7227
52,28896.8594,3779.2532,0.0000,32676.1133
53,28888.6387,3774.9512,0.0000,32663.5898
54,28880.5059,3770.6763,0.0000,32651.1816
55,28872.4531,3766.4319,0.0000,32638.8848
56,28864.5195,3762.2173,0.0000,32626.7363
57,28856.6699,3758.0327,0.0000,32614.7031
58,28848.9102,3753.8750,0.0000,32602.7852
59,28841.2422,3749.7415,0.0000,32590.9844
60,28833.6484,3745.6323,0.0000,32579.2812
61,28826.1133,3741.5488,0.0000,32567.6621
62,28818.6309,3737.4929,0.0000,32556.1230
63,28811.1855,3733.4670,0.0000,32544.6523
64,28803.7773,3729.4719,0.0000,32533.2500
65,28796.3926,3725.5076,0.0000,32521.9004
66,28789.0469,3721.5720,0.0000,32510.6191
67,28781.7129,3717.6672,0.0000,32499.3809
68,28774.4258,3713.7932,0.0000,32488.2188
69,28767.1602,3709.9512,0.0000,32477.1113
70,28759.9102,3706.1438,0.0000,32466.0547
71,28752.6699,3702.3726,0.0000,32455.0430
72,28745.4492,3698.6372,0.0000,32444.0859
73,28738.2363,3694.9365,0.0000,32433.1719
74,28731.0352,3691.2676,0.0000,32422.3027
75,28723.8691,3687.6255,0.0000,32411.4941
76,28716.7266,3684.0054,0.0000,32400.7324
77,28709.6211,3680.4028,0.0000,32390.0234
78,28702.5664,3676.8137,0.0000,32379.3809
79,28695.5566,3673.2354,0.0000,32368.7930
80,28688.5938,3669.6653,0.0000,32358.2598
81,28681.6836,3666.1045,0.0000,32347.7891
82,28674.8281,3662.5518,0.0000,32337.3789
83,28668.0312,3659.0085,0.0000,32327.0391
84,28661.2852,3655.4756,0.0000,32316.7617
85,28654.5957,3651.9543,0.0000,32306.5508
86,28647.9707,3648.4443,0.0000,32296.4141
87,28641.4160,3644.9443,0.0000,32286.3594
88,28634.9473,3641.4521,0.0000,32276.3984
89,28628.5703,3637.9658,0.0000,32266.5352
90,28622.2910,3634.4863,0.0000,32256.7773
91,28616.0977,3631.0120,0.0000,32247.1094
92,28609.9766,3627.5454,0.0000,32237.5215
93,28603.9316,3624.0872,0.0000,32228.0195
94,28597.9434,3620.6392,0.0000,32218.5820
95,28592.0117,3617.2017,0.0000,32209.2129
96,28586.1289,3613.7754,0.0000,32199.9043
97,28580.2910,3610.3601,0.0000,32190.6504
98,28574.4961,3606.9556,0.0000,32181.4512
99,28568.7617,3603.5620,0.0000,32172.3242
100,28563.0645,3600.1782,0.0000,32163.2422
101,28557.4141,3596.8032,0.0000,32154.2168
102,28551.8008,3593.4355,0.0000,32145.2363
103,28546.2422,3590.0732,0.0000,32136.3164
104,28540.7227,3586.7139,0.0000,32127.4375
105,28535.2559,3583.3545,0.0000,32118.6094
106,28529.8281,3579.9900,0.0000,32109.8184
107,28524.4609,3576.6150,0.0000,32101.0762
108,28519.1387,3573.2234,0.0000,32092.3613
109,28513.8809,3569.8069,0.0000,32083.6875
110,28508.6836,3566.3589,0.0000,32075.0430
111,28503.5527,3562.8760,0.0000,32066.4297
112,28498.4824,3559.3623,0.0000,32057.8438
113,28493.4551,3555.8291,0.0000,32049.2852
114,28488.4746,3552.2983,0.0000,32040.7734
115,28483.5098,3548.7954,0.0000,32032.3047
116,28478.5508,3545.3450,0.0000,32023.8965
117,28473.5781,3541.9614,0.0000,32015.5391
118,28468.5879,3538.6489,0.0000,32007.2363
119,28463.5859,3535.4050,0.0000,31998.9902
120,28458.5742,3532.2197,0.0000,31990.7930
121,28453.5586,3529.0828,0.0000,31982.6406
122,28448.5645,3525.9839,0.0000,31974.5488
123,28443.5918,3522.9121,0.0000,31966.5039
124,28438.6699,3519.8569,0.0000,31958.5273
125,28433.7812,3516.8145,0.0000,31950.5957
126,28428.9258,3513.7891,0.0000,31942.7148
127,28424.0996,3510.7856,0.0000,31934.8848
128,28419.2988,3507.8066,0.0000,31927.1055
129,28414.5254,3504.8506,0.0000,31919.3750
130,28409.7734,3501.9165,0.0000,31911.6895
131,28405.0566,3499.0037,0.0000,31904.0605
132,28400.3672,3496.1104,0.0000,31896.4766
133,28395.6953,3493.2358,0.0000,31888.9316
134,28391.0547,3490.3801,0.0000,31881.4355
135,28386.4277,3487.5435,0.0000,31873.9707
136,28381.8125,3484.7266,0.0000,31866.5391
137,28377.2090,3481.9316,0.0000,31859.1406
138,28372.6133,3479.1597,0.0000,31851.7734
139,28368.0059,3476.4126,0.0000,31844.4180
140,28363.4082,3473.6919,0.0000,31837.0996
141,28358.7891,3470.9973,0.0000,31829.7871
142,28354.1777,3468.3254,0.0000,31822.5039
143,28349.5801,3465.6697,0.0000,31815.2500
144,28345.0273,3463.0220,0.0000,31808.0488
145,28340.5176,3460.3755,0.0000,31800.8926
146,28336.0527,3457.7271,0.0000,31793.7793
147,28331.6602,3455.0771,0.0000,31786.7383
148,28327.3008,3452.4282,0.0000,31779.7285
149,28322.9863,3449.7832,0.0000,31772.7695
150,28318.7031,3447.1436,0.0000,31765.8477
151,28314.4395,3444.5127,0.0000,31758.9531
152,28310.2051,3441.8911,0.0000,31752.0957
153,28305.9863,3439.2791,0.0000,31745.2656
154,28301.7891,3436.6782,0.0000,31738.4668
155,28297.5918,3434.0884,0.0000,31731.6797
156,28293.4062,3431.5078,0.0000,31724.9141
157,28289.2344,3428.9351,0.0000,31718.1699
158,28285.0566,3426.3682,0.0000,31711.4258
159,28280.9043,3423.8035,0.0000,31704.7070
160,28276.7637,3421.2383,0.0000,31698.0020
161,28272.6465,3418.6719,0.0000,31691.3184
162,28268.5430,3416.1077,0.0000,31684.6504
163,28264.4668,3413.5505,0.0000,31678.0176
164,28260.4141,3411.0090,0.0000,31671.4238
165,28256.3867,3408.4895,0.0000,31664.8770
166,28252.3867,3405.9954,0.0000,31658.3828
167,28248.4121,3403.5259,0.0000,31651.9375
168,28244.4355,3401.0798,0.0000,31645.5156
169,28240.4922,3398.6538,0.0000,31639.1465
170,28236.5625,3396.2461,0.0000,31632.8086
171,28232.6602,3393.8550,0.0000,31626.5156
172,28228.7559,3391.4800,0.0000,31620.2363
173,28224.8711,3389.1216,0.0000,31613.9922
174,28220.9941,3386.7800,0.0000,31607.7734
175,28217.1055,3384.4578,0.0000,31601.5625
176,28213.2227,3382.1536,0.0000,31595.3770
177,28209.3340,3379.8679,0.0000,31589.2012
178,28205.4375,3377.5967,0.0000,31583.0352
179,28201.5625,3375.3357,0.0000,31576.8984
180,28197.7148,3373.0793,0.0000,31570.7949
181,28193.9102,3370.8247,0.0000,31564.7344
182,28190.1504,3368.5703,0.0000,31558.7207
183,28186.4453,3366.3171,0.0000,31552.7617
184,28182.7598,3364.0679,0.0000,31546.8281
185,28179.1074,3361.8254,0.0000,31540.9336
186,28175.4668,3359.5918,0.0000,31535.0586
187,28171.8359,3357.3687,0.0000,31529.2051
188,28168.2109,3355.1582,0.0000,31523.3691
189,28164.5898,3352.9609,0.0000,31517.5508
190,28160.9590,3350.7769,0.0000,31511.7363
191,28157.3301,3348.6055,0.0000,31505.9355
192,28153.7129,3346.4438,0.0000,31500.1562
193,28150.1250,3344.2891,0.0000,31494.4141
194,28146.5605,3342.1394,0.0000,31488.6992
195,28143.0234,3339.9946,0.0000,31483.0176
196,28139.5117,3337.8569,0.0000,31477.3691
197,28136.0176,3335.7271,0.0000,31471.7441
198,28132.5352,3333.6064,0.0000,31466.1406
199,28129.0430,3331.4966,0.0000,31460.5391
200,28125.5527,3329.3984,0.0000,31454.9512
201,28122.0527,3327.3127,0.0000,31449.3652
202,28118.5371,3325.2412,0.0000,31443.7773
203,28115.0098,3323.1833,0.0000,31438.1934
204,28111.4648,3321.1411,0.0000,31432.6055
205,28107.9199,3319.1135,0.0000,31427.0332
206,28104.3809,3317.1016,0.0000,31421.4824
207,28100.8535,3315.1030,0.0000,31415.9570
208,28097.3379,3313.1182,0.0000,31410.4570
209,28093.8184,3311.1433,0.0000,31404.9609
210,28090.3164,3309.1763,0.0000,31399.4922
211,28086.8262,3307.2146,0.0000,31394.0410
212,28083.3555,3305.2549,0.0000,31388.6094
213,28079.9180,3303.2966,0.0000,31383.2148
214,28076.5078,3301.3374,0.0000,31377.8457
215,28073.1270,3299.3789,0.0000,31372.5059
216,28069.7637,3297.4204,0.0000,31367.1836
217,28066.4375,3295.4629,0.0000,31361.9004
218,28063.1250,3293.5073,0.0000,31356.6328
219,28059.8301,3291.5537,0.0000,31351.3828
220,28056.5488,3289.6035,0.0000,31346.1523
221,28053.2949,3287.6567,0.0000,31340.9512
222,28050.0566,3285.7153,0.0000,31335.7715
223,28046.8379,3283.7786,0.0000,31330.6172
224,28043.6387,3281.8484,0.0000,31325.4863
225,28040.4609,3279.9258,0.0000,31320.3867
226,28037.3008,3278.0117,0.0000,31315.3125
227,28034.1641,3276.1064,0.0000,31310.2695
228,28031.0430,3274.2107,0.0000,31305.2539
229,28027.9473,3272.3250,0.0000,31300.2715
230,28024.8555,3270.4502,0.0000,31295.3047
231,28021.7891,3268.5869,0.0000,31290.3750
232,28018.7246,3266.7351,0.0000,31285.4590
233,28015.6719,3264.8953,0.0000,31280.5664
234,28012.6250,3263.0669,0.0000,31275.6914
235,28009.5879,3261.2507,0.0000,31270.8379
236,28006.5645,3259.4460,0.0000,31266.0098
237,28003.5352,3257.6509,0.0000,31261.1855
238,28000.5156,3255.8645,0.0000,31256.3809
239,27997.5195,3254.0845,0.0000,31251.6035
240,27994.5293,3252.3091,0.0000,31246.8379
241,27991.5508,3250.5374,0.0000,31242.0879
242,27988.5898,3248.7686,0.0000,31237.3594
243,27985.6289,3247.0032,0.0000,31232.6328
244,27982.6895,3245.2395,0.0000,31227.9297
245,27979.7598,3243.4802,0.0000,31223.2402
246,27976.8438,3241.7236,0.0000,31218.5664
247,27973.9453,3239.9717,0.0000,31213.9180
248,27971.0566,3238.2253,0.0000,31209.2812
249,27968.1914,3236.4851,0.0000,31204.6758
250,27965.3477,3234.7512,0.0000,31200.0996
251,27962.5312,3233.0244,0.0000,31195.5547
252,27959.7402,3231.3052,0.0000,31191.0449
253,27956.9785,3229.5947,0.0000,31186.5742
254,27954.2383,3227.8914,0.0000,31182.1289
