epoch,SPTC,MSTC,loss
0,2362450.0000,510306.6250,2872756.5000
1,1724698.6250,438381.5000,2163080.0000
2,1277506.0000,376406.8125,1653912.7500
3,963811.0000,323396.7500,1287207.7500
4,741723.6875,278258.9375,1019982.6250
5,582210.4375,239911.9219,822122.3750
6,465659.1250,207362.4844,673021.6250
7,379002.0625,179737.8906,558739.9375
8,313483.0938,156291.0312,469774.1250
9,263187.6250,136389.7812,399577.4062
10,224037.2188,119499.5469,343536.7500
11,193187.1406,105166.6484,298353.7812
12,168610.9688,93003.8906,261614.8594
13,148842.3438,82679.7031,231522.0469
14,132801.0781,73909.5625,206710.6406
15,119678.8750,66449.7188,186128.5938
16,108863.5000,60092.3125,168955.8125
17,99886.6719,54660.9219,154547.5938
18,92384.8516,50006.6953,142391.5469
19,86074.6562,46004.6328,132079.2812
20,80733.1250,42550.3281,123283.4531
21,76179.1250,39556.6953,115735.8203
22,72278.6875,36951.3203,109230.0078
23,68918.3281,34674.0508,103592.3750
24,66008.8906,32674.8672,98683.7578
25,63475.3711,30912.1406,94387.5156
26,61258.0469,29351.1562,90609.2031
27,59307.6133,27962.8633,87270.4766
28,57583.8203,26722.9668,84306.7891
29,56052.2617,25611.0195,81663.2812
30,54685.9609,24609.8047,79295.7656
31,53460.5742,23704.7188,77165.2969
32,52358.0352,22883.3750,75241.4062
33,51362.3281,22135.2090,73497.5391
34,50459.8398,21451.1875,71911.0312
35,49638.5508,20823.5820,70462.1328
36,48888.3984,20245.7109,69134.1094
37,48200.6914,19711.7930,67912.4844
38,47568.1484,19216.8242,66784.9688
39,46984.5312,18756.4316,65740.9609
40,46444.4609,18326.8145,64771.2734
41,45943.2734,17924.6445,63867.9180
42,45477.0039,17547.0059,63024.0078
43,45042.0625,17191.3359,62233.3984
44,44635.4180,16855.3789,61490.7969
45,44254.3516,16537.1445,60791.4961
46,43896.4453,16234.8643,60131.3086
47,43559.5781,15946.9648,59506.5430
48,43241.8750,15672.0420,58913.9180
49,42941.6797,15408.8564,58350.5352
50,42657.4453,15156.3076,57813.7539
51,42387.8516,14913.4238,57301.2734
52,42131.6328,14679.3613,56810.9922
53,41887.6641,14453.3926,56341.0547
54,41654.8867,14234.8926,55889.7812
55,41432.3477,14023.3252,55455.6719
56,41219.2109,13818.2334,55037.4453
