epoch,SPTC,MSTC,loss
0,122152.2031,56263.5078,178415.7188
1,97684.5625,49939.3945,147623.9531
2,78395.7734,44007.6680,122403.4375
3,63308.6875,38533.1719,101841.8594
4,51519.5938,33555.0938,85074.6875
5,42269.0625,29089.3789,71358.4375
6,34958.9727,25132.4375,60091.4102
7,29136.1504,21665.2734,50801.4219
8,24463.1719,18657.4121,43120.5859
9,20688.9023,16070.5322,36759.4336
10,17624.4297,13861.7568,31486.1875
11,15125.4053,11986.5820,27111.9883
12,13079.6582,10401.2402,23480.8984
13,11398.8867,9064.4814,20463.3672
14,10012.8887,7938.7197,17951.6094
15,8865.5352,6990.6182,15856.1533
16,7911.8062,6191.2461,14103.0527
17,7115.5308,5515.9077,12631.4385
18,6447.6348,4943.7876,11391.4219
19,5884.7231,4457.5083,10342.2314
20,5407.9536,4042.6536,9450.6074
21,5002.1260,3687.3110,8689.4375
22,4654.9590,3381.6670,8036.6260
23,4356.5000,3117.6399,7474.1396
24,4098.6592,2888.5723,6987.2314
25,3874.8447,2688.9727,6563.8174
26,3679.6580,2514.3054,6193.9634
27,3508.6663,2360.8103,5869.4766
28,3358.2131,2225.3647,5583.5781
29,3225.2683,2105.3647,5330.6328
30,3107.3140,1998.6333,5105.9473
31,3002.2427,1903.3412,4905.5840
32,2908.2908,1817.9487,4726.2393
33,2823.9724,1741.1536,4565.1260
34,2748.0278,1671.8503,4419.8779
35,2679.3914,1609.0977,4288.4893
36,2617.1509,1552.0906,4169.2412
37,2560.5281,1500.1382,4060.6663
38,2508.8550,1452.6470,3961.5020
39,2461.5542,1409.1035,3870.6577
40,2418.1279,1369.0632,3787.1912
41,2378.1438,1332.1399,3710.2837
42,2341.2256,1297.9965,3639.2222
43,2307.0444,1266.3392,3573.3838
44,2275.3135,1236.9102,3512.2236
45,2245.7815,1209.4819,3455.2634
46,2218.2256,1183.8558,3402.0815
47,2192.4504,1159.8552,3352.3057
48,2168.2830,1137.3242,3305.6072
49,2145.5715,1116.1248,3261.6963
50,2124.1782,1096.1335,3220.3118
51,2103.9834,1077.2412,3181.2246
52,2084.8799,1059.3500,3144.2300
53,2066.7708,1042.3730,3109.1438
54,2049.5706,1026.2317,3075.8022
55,2033.2032,1010.8563,3044.0596
56,2017.5986,996.1834,3013.7820
57,2002.6951,982.1567,2984.8518
58,1988.4381,968.7254,2957.1636
59,1974.7758,955.8430,2930.6187
60,1961.6633,943.4681,2905.1313
61,1949.0597,931.5633,2880.6230
62,1936.9276,920.0940,2857.0215
63,1925.2332,909.0298,2834.2629
64,1913.9456,898.3421,2812.2876
65,1903.0377,888.0060,2791.0437
66,1892.4840,877.9980,2770.4819
67,1882.2607,868.2965,2750.5571
68,1872.3481,858.8825,2731.2307
69,1862.7256,849.7385,2712.4641
70,1853.3763,840.8479,2694.2241
71,1844.2844,832.1965,2676.4810
72,1835.4353,823.7703,2659.2056
73,1826.8151,815.5571,2642.3721
74,1818.4117,807.5456,2625.9573
75,1810.2141,799.7252,2609.9392
76,1802.2117,792.0862,2594.2979
77,1794.3944,784.6201,2579.0144
78,1786.7545,777.3187,2564.0732
79,1779.2827,770.1740,2549.4565
80,1771.9723,763.1794,2535.1519
81,1764.8159,756.3284,2521.1443
82,1757.8075,749.6150,2507.4224
83,1750.9406,743.0337,2493.9741
84,1744.2097,736.5792,2480.7891
85,1737.6099,730.2469,2467.8569
86,1731.1359,724.0323,2455.1682
87,1724.7839,717.9310,2442.7148
88,1718.5494,711.9393,2430.4888
89,1712.4281,706.0534,2418.4814
90,1706.4164,700.2699,2406.6863
91,1700.5110,694.5856,2395.0967
92,1694.7090,688.9976,2383.7065
93,1689.0067,683.5026,2372.5093
94,1683.4010,678.0983,2361.4993
95,1677.8898,672.7817,2350.6714
96,1672.4703,667.5510,2340.0215
97,1667.1398,662.4034,2329.5432
98,1661.8962,657.3370,2319.2334
99,1656.7369,652.3492,2309.0862
100,1651.6600,647.4389,2299.0989
101,1646.6637,642.6035,2289.2671
102,1641.7460,637.8414,2279.5874
103,1636.9043,633.1511,2270.0554
104,1632.1372,628.5304,2260.6675
105,1627.4434,623.9781,2251.4214
106,1622.8212,619.4930,2242.3142
107,1618.2686,615.0729,2233.3416
108,1613.7839,610.7170,2224.5010
109,1609.3666,606.4236,2215.7903
110,1605.0139,602.1917,2207.2056
111,1600.7255,598.0195,2198.7451
112,1596.4994,593.9063,2190.4058
113,1592.3351,589.8508,2182.1860
114,1588.2305,585.8517,2174.0820
115,1584.1847,581.9079,2166.0925
116,1580.1968,578.0185,2158.2153
117,1576.2653,574.1823,2150.4475
118,1572.3890,570.3984,2142.7876
119,1568.5675,566.6658,2135.2334
120,1564.7991,562.9833,2127.7822
121,1561.0829,559.3502,2120.4331
122,1557.4181,555.7656,2113.1836
123,1553.8035,552.2286,2106.0320
124,1550.2384,548.7382,2098.9766
125,1546.7217,545.2938,2092.0154
126,1543.2528,541.8942,2085.1470
127,1539.8307,538.5391,2078.3696
128,1536.4541,535.2272,2071.6812
129,1533.1224,531.9581,2065.0806
130,1529.8354,528.7308,2058.5664
131,1526.5919,525.5449,2052.1367
132,1523.3906,522.3993,2045.7899
