epoch,SPTC,MSTC,not_reached,loss
0,128531.3750,21252.3594,1345055.5000,1494839.2500
1,128489.2969,21211.5430,1344284.0000,1493984.8750
2,128490.2422,21175.1738,1342442.7500,1492108.1250
3,128528.2109,21142.9102,1339677.3750,1489348.5000
4,128600.0078,21114.5254,1336058.5000,1485773.0000
5,128703.4922,21089.7734,1331643.6250,1481436.8750
6,128836.3359,21068.2969,1326509.3750,1476414.0000
7,128995.8125,21049.6484,1320761.7500,1470807.2500
8,129180.4844,21033.3828,1314477.5000,1464691.3750
9,129393.7422,21019.2168,1307609.6250,1458022.6250
10,129645.6172,21007.1348,1299942.2500,1450595.0000
11,129950.4297,20997.3711,1291143.6250,1442091.3750
12,130321.4688,20990.3789,1280883.1250,1432195.0000
13,130767.3047,20986.7520,1268944.5000,1420698.5000
14,131293.9375,20987.2969,1255226.5000,1407507.7500
15,131908.1875,20993.2148,1239647.0000,1392548.3750
16,132625.0781,21006.3555,1221954.7500,1375586.2500
17,133470.6719,21029.1543,1201658.8750,1356158.7500
18,134478.1562,21064.0879,1178010.8750,1333553.1250
19,135698.8906,21113.1016,1149842.0000,1306654.0000
20,137208.1406,21177.5234,1115532.2500,1273917.8750
21,139090.0000,21258.5703,1073274.5000,1233623.0000
22,141406.2500,21357.5547,1021716.1250,1184480.0000
23,144157.3750,21475.1152,960749.0625,1126381.5000
24,147248.9375,21610.2188,892302.5625,1061161.7500
25,150495.3281,21759.7402,820276.2500,992531.3125
26,153690.1094,21919.1055,749060.5625,924669.7500
27,156747.1406,22083.4141,680548.3750,859378.9375
28,159762.5938,22249.2617,612612.0625,794623.9375
29,162901.9531,22415.9590,541501.7500,726819.6250
30,166245.0781,22584.2695,465303.5625,654132.8750
31,169698.6406,22755.1543,386017.4688,578471.2500
32,173028.5156,22928.2598,309008.7500,504965.5312
33,176045.0156,23101.1445,238781.0312,437927.1875
34,178696.8438,23271.2500,176405.4062,378373.5000
35,180934.8125,23437.5781,122562.2266,326934.6250
36,182665.5781,23599.6270,79033.1953,285298.4062
37,183857.4844,23755.0703,46742.9375,254355.5000
38,184563.7031,23899.8965,24949.0078,233412.5938
39,184891.7969,24030.3945,11753.8438,220676.0312
40,184960.8125,24142.9414,4804.0801,213907.8281
41,184879.0625,24233.6562,1857.3467,210970.0625
42,184743.2812,24300.5195,806.7516,209850.5469
43,184602.2969,24344.7656,420.6240,209367.6875
44,184467.3594,24369.5625,256.5754,209093.5000
45,184338.9531,24378.4473,178.9513,208896.3594
46,184216.6719,24374.5820,138.8405,208730.0938
47,184100.1719,24360.5742,115.5744,208576.3281
48,183988.7031,24338.5000,100.3043,208427.5000
49,183881.5156,24310.0176,89.2773,208280.8125
50,183778.0625,24276.4512,80.7925,208135.3125
51,183677.8438,24238.8633,73.9800,207990.6875
52,183580.5938,24198.0977,68.3449,207847.0312
53,183486.0312,24154.8262,63.5830,207704.4375
54,183394.0469,24109.6055,59.4965,207563.1562
55,183304.5000,24062.8984,55.9506,207423.3594
56,183217.2812,24015.0977,52.8480,207285.2188
57,183132.0938,23966.5469,50.1174,207148.7656
58,183048.9375,23917.5449,47.7017,207014.1875
59,182967.7031,23868.3672,45.5473,206881.6094
60,182888.2188,23819.2168,43.6108,206751.0469
61,182810.5938,23770.1855,41.8593,206622.6406
62,182734.6562,23721.3027,40.2665,206496.2188
63,182660.3906,23672.5215,38.8111,206371.7188
64,182587.7188,23623.7910,37.4750,206248.9844
65,182516.6562,23575.0547,36.2455,206127.9688
66,182447.1250,23526.2930,35.1173,206008.5469
67,182378.9062,23477.5449,34.0906,205890.5469
68,182311.9688,23428.8789,33.1630,205774.0000
69,182246.3594,23380.3711,32.3248,205659.0625
70,182181.8438,23332.0742,31.5626,205545.4844
71,182118.5000,23284.0527,30.8643,205433.4062
72,182056.2969,23236.3984,30.2208,205322.9062
73,181995.1875,23189.2539,29.6238,205214.0625
74,181935.0781,23142.7656,29.0635,205106.9062
75,181876.0156,23097.0469,28.5310,205001.5938
76,181817.9844,23052.1875,28.0252,204898.2031
77,181760.9531,23008.2207,27.5443,204796.7188
78,181704.6719,22965.1367,27.0852,204696.8906
79,181649.1875,22922.8555,26.6446,204598.6875
80,181594.3281,22881.2559,26.2206,204501.7969
81,181539.9688,22840.1914,25.8130,204405.9688
82,181486.1719,22799.5332,25.4223,204311.1250
83,181432.9062,22759.1875,25.0493,204217.1406
84,181380.2031,22719.1016,24.6941,204124.0000
85,181328.2500,22679.2617,24.3565,204031.8750
86,181277.1875,22639.6602,24.0354,203940.8750
87,181227.0625,22600.2793,23.7294,203851.0781
88,181177.7188,22561.0703,23.4370,203762.2188
89,181129.1719,22521.9902,23.1564,203674.3125
90,181081.2344,22483.0078,22.8860,203587.1406
91,181033.8438,22444.1035,22.6238,203500.5781
92,180986.7812,22405.2637,22.3680,203414.4219
93,180940.0469,22366.4414,22.1164,203328.5938
94,180893.5938,22327.5723,21.8678,203243.0469
95,180847.3750,22288.5664,21.6226,203157.5625
96,180801.4688,22249.3594,21.3840,203072.2188
97,180755.9531,22209.9043,21.1560,202987.0156
98,180710.8594,22170.2188,20.9408,202902.0156
99,180666.1875,22130.3516,20.7375,202817.2656
100,180621.9219,22090.3652,20.5444,202732.8281
101,180578.0312,22050.3086,20.3593,202648.7031
102,180534.5000,22010.2734,20.1800,202564.9688
103,180491.2031,21970.4141,20.0045,202481.6250
104,180448.0938,21930.9609,19.8309,202398.8906
105,180405.2188,21892.1777,19.6582,202317.0469
106,180362.3594,21854.2656,19.4862,202236.1094
107,180319.6406,21817.3047,19.3153,202156.2500
108,180277.0156,21781.2402,19.1460,202077.3906
109,180234.3906,21745.9121,18.9785,201999.2812
110,180191.8438,21711.1250,18.8128,201921.7812
111,180149.2969,21676.7031,18.6485,201844.6562
112,180106.4844,21642.5000,18.4853,201767.4688
113,180063.4844,21608.3926,18.3227,201690.2031
114,180020.2344,21574.2832,18.1607,201612.6719
115,179976.8438,21540.0781,17.9995,201534.9219
116,179933.5156,21505.6992,17.8391,201457.0625
117,179890.5625,21471.0781,17.6798,201379.3281
118,179848.2188,21436.1680,17.5217,201301.9062
119,179806.5312,21400.9609,17.3648,201224.8594
120,179765.6406,21365.5234,17.2092,201148.3594
121,179725.3438,21329.9766,17.0548,201072.3750
122,179685.5781,21294.4785,16.9013,200996.9688
123,179646.1719,21259.2266,16.7481,200922.1562
124,179607.1250,21224.4023,16.5951,200848.1250
125,179568.3438,21190.1504,16.4419,200774.9375
126,179529.8594,21156.5449,16.2886,200702.6875
127,179491.6562,21123.5820,16.1354,200631.3750
128,179453.7812,21091.2168,15.9822,200560.9844
129,179416.1094,21059.3691,15.8288,200491.3125
130,179378.8125,21027.9668,15.6748,200422.4531
131,179341.8594,20996.9531,15.5198,200354.3281
132,179305.3281,20966.3066,15.3632,200287.0000
133,179269.1094,20936.0254,15.2046,200220.3438
134,179233.2500,20906.1367,15.0441,200154.4375
135,179197.7031,20876.6523,14.8821,200089.2344
136,179162.4219,20847.5898,14.7194,200024.7344
137,179127.4375,20818.9648,14.5570,199960.9688
138,179092.6562,20790.7910,14.3953,199897.8438
139,179058.0469,20763.0664,14.2341,199835.3438
140,179023.6875,20735.7656,14.0732,199773.5312
141,178989.5469,20708.8535,13.9122,199712.3125
142,178955.5156,20682.2754,13.7515,199651.5469
143,178921.7656,20655.9805,13.5924,199591.3438
144,178888.2031,20629.9160,13.4370,199531.5625
145,178854.8594,20604.0488,13.2879,199472.1875
146,178821.7969,20578.3555,13.1473,199413.2969
147,178789.0156,20552.8301,13.0161,199354.8594
148,178756.5625,20527.4688,12.8937,199296.9219
149,178724.3594,20502.2617,12.7787,199239.4062
150,178692.4375,20477.1855,12.6691,199182.2969
151,178660.7344,20452.2129,12.5634,199125.5156
152,178629.1875,20427.3125,12.4601,199068.9531
153,178597.7812,20402.4531,12.3583,199012.5938
154,178566.5469,20377.6055,12.2570,198956.4062
155,178535.4375,20352.7422,12.1554,198900.3438
156,178504.4375,20327.8203,12.0529,198844.2969
157,178473.5781,20302.7910,11.9490,198788.3281
158,178442.9062,20277.5918,11.8438,198732.3438
159,178412.5000,20252.1758,11.7378,198676.4062
160,178382.2656,20226.5098,11.6316,198620.4062
161,178352.3438,20200.6152,11.5258,198564.4844
162,178322.5469,20174.5645,11.4199,198508.5312
