epoch,SPTC,MSTC,loss
0,22900708.0000,1264505.5000,24165214.0000
1,15748667.0000,1066053.0000,16814720.0000
2,10889738.0000,900534.7500,11790273.0000
3,7632220.0000,763901.3125,8396121.0000
4,5452720.5000,651777.0000,6104497.5000
5,3984539.5000,559968.2500,4544508.0000
6,2983132.7500,484751.5625,3467884.2500
7,2289482.7500,422973.0312,2712455.7500
8,1800975.0000,372042.1875,2173017.2500
9,1451128.5000,329866.1875,1780994.7500
10,1196415.7500,294768.2812,1491184.0000
11,1007950.8125,265409.4688,1273360.2500
12,866292.1875,240720.9062,1107013.1250
13,758173.1250,219847.7656,978020.8750
14,674425.8125,202105.0469,876530.8750
15,608631.3750,186942.2188,795573.6250
16,556239.5625,173915.1562,730154.7500
17,513986.7812,162664.4219,676651.1875
18,479501.5312,152897.8438,632399.3750
19,451039.9062,144377.2500,595417.1250
20,427304.5938,136907.3750,564212.0000
21,407319.0625,130327.4531,537646.5000
22,390339.5312,124504.7656,514844.3125
23,375793.5000,119329.1250,495122.6250
24,363234.8438,114708.5391,477943.3750
25,352313.6250,110565.9844,462879.6250
26,342751.5312,106836.6250,449588.1562
27,334325.9062,103465.6250,437791.5312
28,326857.0312,100406.3750,427263.4062
29,320198.1562,97619.3438,417817.5000
30,314229.2500,95070.6484,409299.9062
31,308851.0625,92731.1875,401582.2500
32,303981.2188,90575.9609,394557.1875
33,299550.6875,88583.3438,388134.0312
34,295501.4688,86734.5938,382236.0625
35,291784.8125,85013.4688,376798.2812
36,288358.8125,83405.8438,371764.6562
37,285188.2188,81899.4219,367087.6250
38,282242.3438,80483.3750,362725.7188
39,279495.0312,79148.2031,358643.2500
40,276923.4375,77885.5078,354808.9375
41,274507.5312,76687.9688,351195.5000
42,272229.9062,75549.1094,347779.0000
43,270074.8125,74463.2188,344538.0312
44,268028.3125,73425.1875,341453.5000
45,266077.1562,72430.5391,338507.6875
46,264209.1875,71475.2812,335684.4688
47,262412.0625,70555.8594,332967.9375
48,260673.9219,69669.0703,330343.0000
49,258983.3438,68812.0781,327795.4375
50,257329.8594,67982.3125,325312.1875
51,255704.3438,67177.5234,322881.8750
52,254100.0000,66395.7812,320495.7812
53,252512.3906,65635.4453,318147.8438
54,250939.4844,64895.1484,315834.6250
55,249380.6406,64173.7422,313554.3750
56,247836.2344,63470.2891,311306.5312
57,246306.9688,62784.0508,309091.0312
58,244793.6875,62114.4258,306908.1250
59,243297.2031,61460.8633,304758.0625
60,241818.0781,60822.9180,302641.0000
61,240356.2344,60200.2109,300556.4375
62,238911.2969,59592.4102,298503.7188
63,237482.2812,58999.1875,296481.4688
64,236068.4062,58420.2305,294488.6250
65,234668.6250,57855.2109,292523.8438
66,233281.8594,57303.7656,290585.6250
67,231907.0000,56765.4609,288672.4688
68,230542.7969,56239.8086,286782.5938
69,229187.9219,55726.3242,284914.2500
70,227841.0625,55224.4805,283065.5312
71,226500.6719,54733.7305,281234.4062
72,225165.5156,54253.5352,279419.0625
73,223834.7500,53783.4180,277618.1562
74,222508.1562,53322.8828,275831.0312
75,221186.2500,52871.5625,274057.8125
76,219870.2812,52429.0977,272299.3750
77,218562.5781,51995.2500,270557.8125
78,217266.2344,51569.8164,268836.0625
79,215984.9375,51152.6680,267137.5938
80,214722.8281,50743.6875,265466.5000
81,213483.4688,50342.7656,263826.2500
82,212269.4219,49949.8125,262219.2500
83,211081.8281,49564.7266,260646.5625
84,209920.9844,49187.3750,259108.3594
85,208785.9531,48817.6016,257603.5625
86,207675.3438,48455.2305,256130.5781
87,206587.8125,48100.0625,254687.8750
88,205521.7656,47751.8750,253273.6406
89,204475.8750,47410.4453,251886.3125
90,203448.7031,47075.5742,250524.2812
91,202438.8594,46747.0195,249185.8750
92,201445.0625,46424.5664,247869.6250
93,200466.4688,46107.9844,246574.4531
94,199502.8438,45797.0391,245299.8750
95,198553.8438,45491.5117,244045.3594
96,197619.7812,45191.1914,242810.9688
97,196701.1094,44895.8594,241596.9688
98,195798.3281,44605.2891,240403.6250
99,194911.7188,44319.3008,239231.0156
100,194041.3750,44037.7344,238079.1094
101,193186.9062,43760.4688,236947.3750
102,192347.6562,43487.4141,235835.0625
103,191523.0000,43218.5039,234741.5000
104,190712.2188,42953.6914,233665.9062
105,189914.5312,42692.9531,232607.4844
106,189129.7188,42436.2617,231565.9844
107,188357.7500,42183.6172,230541.3750
108,187598.4219,41935.0156,229533.4375
109,186851.3281,41690.4609,228541.7812
110,186115.6094,41449.9219,227565.5312
111,185390.6719,41213.3516,226604.0312
112,184676.6406,40980.6797,225657.3125
113,183974.3438,40751.7891,224726.1250
114,183285.0156,40526.5586,223811.5781
115,182609.5000,40304.8438,222914.3438
116,181948.0781,40086.5234,222034.5938
117,181300.2812,39871.4844,221171.7656
118,180665.3125,39659.6367,220324.9531
119,180042.2500,39450.9062,219493.1562
120,179430.2031,39245.2109,218675.4062
121,178828.7812,39042.4766,217871.2500
122,178237.6094,38842.6367,217080.2500
123,177656.5156,38645.5859,216302.0938
124,177085.1250,38451.2305,215536.3594
125,176522.8750,38259.4570,214782.3281
126,175969.2344,38070.1602,214039.3906
127,175423.3750,37883.2734,213306.6562
128,174884.6719,37698.7227,212583.3906
129,174352.4844,37516.4219,211868.9062
