epoch,SPTC,MSTC,not_reached,loss
0,80421.8828,17028.0703,0.0000,97449.9531
1,80362.1719,16985.0254,0.0000,97347.1953
2,80302.8438,16942.2461,0.0000,97245.0938
3,80243.9297,16899.7324,0.0000,97143.6641
4,80185.3750,16857.4746,0.0000,97042.8516
5,80127.2500,16815.4727,0.0000,96942.7188
6,80069.4609,16773.7207,0.0000,96843.1797
7,80012.0547,16732.2148,0.0000,96744.2656
8,79955.0234,16690.9512,0.0000,96645.9766
9,79898.3047,16649.9277,0.0000,96548.2344
10,79842.0000,16609.1367,0.0000,96451.1406
11,79786.0391,16568.5801,0.0000,96354.6172
12,79730.4609,16528.2578,0.0000,96258.7188
13,79675.2500,16488.1602,0.0000,96163.4062
14,79620.3906,16448.2891,0.0000,96068.6797
15,79565.9141,16408.6426,0.0000,95974.5547
16,79511.7969,16369.2197,0.0000,95881.0156
17,79458.0312,16330.0195,0.0000,95788.0469
18,79404.6484,16291.0391,0.0000,95695.6875
19,79351.5938,16252.2764,0.0000,95603.8672
20,79298.8750,16213.7314,0.0000,95512.6094
21,79246.4766,16175.4014,0.0000,95421.8750
22,79194.4609,16137.2871,0.0000,95331.7500
23,79142.7500,16099.3867,0.0000,95242.1406
24,79091.3438,16061.7012,0.0000,95153.0469
25,79040.2891,16024.2305,0.0000,95064.5156
26,78989.5469,15986.9727,0.0000,94976.5156
27,78939.0703,15949.9258,0.0000,94889.0000
28,78888.9297,15913.0918,0.0000,94802.0234
29,78839.1172,15876.4678,0.0000,94715.5859
30,78789.5859,15840.0527,0.0000,94629.6406
31,78740.3438,15803.8438,0.0000,94544.1875
32,78691.4141,15767.8389,0.0000,94459.2500
33,78642.7734,15732.0371,0.0000,94374.8125
34,78594.4531,15696.4375,0.0000,94290.8906
35,78546.3359,15661.0361,0.0000,94207.3750
36,78498.5547,15625.8340,0.0000,94124.3906
37,78451.0703,15590.8281,0.0000,94041.8984
38,78403.8594,15556.0176,0.0000,93959.8750
39,78356.9062,15521.3994,0.0000,93878.3047
40,78310.2500,15486.9746,0.0000,93797.2266
41,78263.8750,15452.7402,0.0000,93716.6172
42,78217.7578,15418.6943,0.0000,93636.4531
43,78171.9453,15384.8350,0.0000,93556.7812
44,78126.4141,15351.1592,0.0000,93477.5703
45,78081.1641,15317.6621,0.0000,93398.8281
46,78036.1797,15284.3418,0.0000,93320.5234
47,77991.4531,15251.1934,0.0000,93242.6484
48,77947.0156,15218.2119,0.0000,93165.2266
49,77902.8281,15185.3965,0.0000,93088.2266
50,77858.9297,15152.7383,0.0000,93011.6719
51,77815.2656,15120.2383,0.0000,92935.5000
52,77771.8750,15087.8887,0.0000,92859.7656
53,77728.7344,15055.6943,0.0000,92784.4297
54,77685.8438,15023.6445,0.0000,92709.4844
55,77643.2031,14991.7402,0.0000,92634.9453
56,77600.7969,14959.9795,0.0000,92560.7734
57,77558.6172,14928.3643,0.0000,92486.9844
58,77516.7266,14896.8984,0.0000,92413.6250
59,77475.0234,14865.5947,0.0000,92340.6172
60,77433.5703,14834.4609,0.0000,92268.0312
61,77392.3672,14803.5098,0.0000,92195.8750
62,77351.3672,14772.7539,0.0000,92124.1250
63,77310.6016,14742.1982,0.0000,92052.7969
64,77270.0234,14711.8457,0.0000,91981.8672
65,77229.6719,14681.6963,0.0000,91911.3672
66,77189.5312,14651.7441,0.0000,91841.2734
67,77149.6172,14621.9873,0.0000,91771.6016
68,77109.9141,14592.4160,0.0000,91702.3281
69,77070.4375,14563.0293,0.0000,91633.4688
70,77031.1406,14533.8203,0.0000,91564.9609
71,76992.0859,14504.7881,0.0000,91496.8750
72,76953.2266,14475.9277,0.0000,91429.1562
73,76914.6016,14447.2363,0.0000,91361.8359
74,76876.2031,14418.7129,0.0000,91294.9141
75,76838.0391,14390.3564,0.0000,91228.3984
76,76800.0469,14362.1641,0.0000,91162.2109
77,76762.2812,14334.1328,0.0000,91096.4141
78,76724.7578,14306.2637,0.0000,91031.0234
79,76687.3984,14278.5566,0.0000,90965.9531
80,76650.2891,14251.0078,0.0000,90901.2969
81,76613.3672,14223.6191,0.0000,90836.9844
82,76576.6328,14196.3926,0.0000,90773.0234
83,76540.0781,14169.3252,0.0000,90709.4062
84,76503.7656,14142.4199,0.0000,90646.1875
85,76467.6328,14115.6729,0.0000,90583.3047
86,76431.6641,14089.0859,0.0000,90520.7500
87,76395.9141,14062.6582,0.0000,90458.5703
88,76360.2969,14036.3887,0.0000,90396.6875
89,76324.8984,14010.2725,0.0000,90335.1719
90,76289.6641,13984.3105,0.0000,90273.9766
