epoch,SPTC,MSTC,loss
0,20194708.0000,1479684.2500,21674392.0000
1,14353863.0000,1278669.7500,15632533.0000
2,10181256.0000,1102976.5000,11284232.0000
3,7251690.0000,951280.0000,8202970.0000
4,5216525.5000,821395.1875,6037920.5000
5,3808296.7500,710821.2500,4519118.0000
6,2831713.2500,617034.0000,3448747.2500
7,2149383.0000,537659.5000,2687042.5000
8,1667119.3750,470557.1875,2137676.5000
9,1321357.1250,413844.8125,1735202.0000
10,1069501.5000,365893.3750,1435394.8750
11,883001.2500,325307.0000,1208308.2500
12,742612.5000,290898.9688,1033511.5000
13,635241.3750,261666.0625,896907.4375
14,551872.1250,236764.7031,788636.8125
15,486213.7500,215488.5312,701702.2500
16,433815.5000,197248.2656,631063.7500
17,391483.4062,181553.4688,573036.8750
18,356893.8438,167996.8438,524890.6875
19,328333.7188,156240.3438,484574.0625
20,304523.1875,146003.4688,450526.6562
21,284494.9375,137053.2500,421548.1875
22,267509.1250,129196.0469,396705.1875
23,252993.1875,122270.4297,375263.6250
24,240500.3594,116141.6328,356642.0000
25,229677.7812,110696.7969,340374.5625
26,220244.8438,105841.0703,326085.9062
27,211975.9375,101494.5703,313470.5000
28,204688.6875,97589.7188,302278.4062
29,198234.1562,94069.2109,292303.3750
30,192490.0312,90884.2031,283374.2500
31,187355.2656,87993.0078,275348.2812
32,182745.4531,85359.8594,268105.3125
33,178590.2344,82954.0000,261544.2344
34,174830.2188,80748.8906,255579.1094
35,171415.0781,78721.5547,250136.6250
36,168302.1094,76852.0391,245154.1562
37,165454.7031,75123.0000,240577.7031
38,162841.5312,73519.2656,236360.7969
39,160435.5000,72027.5859,232463.0938
40,158213.1562,70636.3281,228849.4844
41,156154.3125,69335.2500,225489.5625
42,154241.0781,68115.3281,222356.4062
43,152458.0156,66968.5938,219426.6094
44,150791.7031,65887.9609,216679.6562
45,149230.1250,64867.1719,214097.2969
46,147762.7031,63900.6406,211663.3438
47,146380.2500,62983.3945,209363.6406
48,145074.5781,62111.0117,207185.5938
49,143838.3594,61279.5234,205117.8750
50,142665.1562,60485.3984,203150.5625
51,141549.1875,59725.4688,201274.6562
52,140485.3281,58996.8828,199482.2188
53,139468.9844,58297.1016,197766.0938
54,138496.0625,57623.8242,196119.8906
