epoch,SPTC,MSTC,loss
0,1066473.5000,296018.4062,1362491.8750
1,792333.0000,254420.3438,1046753.3750
2,596589.1250,218457.5781,815046.6875
3,457292.5000,187663.0469,644955.5625
4,357718.8125,161464.6562,519183.4688
5,285789.5000,139263.0938,425052.5938
6,233076.5781,120485.2266,353561.8125
7,193809.7812,104614.1875,298423.9688
8,164066.5312,91200.5000,255267.0312
9,141174.6875,79861.2031,221035.8906
10,123297.8828,70272.8828,193570.7656
11,109156.5156,62162.8594,171319.3750
12,97843.5469,55300.4766,153144.0312
13,88704.0000,49489.9375,138193.9375
14,81255.8125,44564.7109,125820.5234
15,75138.2266,40383.2266,115521.4531
16,70076.9297,36825.4766,106902.4062
17,65860.8438,33790.1367,99650.9844
18,62325.8359,31192.1074,93517.9453
19,59343.0625,28960.2168,88303.2812
20,56810.8711,27035.1875,83846.0625
21,54648.3750,25367.7695,80016.1406
22,52790.9805,23917.1387,76708.1172
23,51186.7188,22649.4512,73836.1719
24,49793.6641,21536.6445,71330.3125
25,48577.7344,20555.4453,69133.1797
26,47511.1367,19686.4766,67197.6094
27,46571.0625,18913.5918,65484.6562
28,45738.7109,18223.2871,63962.0000
29,44998.5312,17604.2285,62602.7578
30,44337.5430,17046.8750,61384.4180
31,43744.8867,16543.1660,60288.0547
32,43211.4688,16086.2549,59297.7227
33,42729.5938,15670.3203,58399.9141
34,42292.7109,15290.3779,57583.0898
35,41895.2812,14942.1533,56837.4336
36,41532.5273,14621.9609,56154.4883
37,41200.4062,14326.6191,55527.0234
38,40895.3516,14053.3652,54948.7188
39,40614.3281,13799.7969,54414.1250
40,40354.6797,13563.8105,53918.4922
41,40114.1133,13343.5742,53457.6875
42,39890.5859,13137.4746,53028.0625
43,39682.3516,12944.0957,52626.4453
44,39487.8672,12762.1875,52250.0547
45,39305.7422,12590.6445,51896.3867
46,39134.7891,12428.4912,51563.2812
47,38973.9414,12274.8633,51248.8047
48,38822.2227,12128.9893,50951.2109
49,38678.8398,11990.1885,50669.0273
50,38542.9961,11857.8477,50400.8438
51,38414.0625,11731.4209,50145.4844
52,38291.4141,11610.4199,49901.8359
53,38174.5195,11494.4043,49668.9219
54,38062.9141,11382.9766,49445.8906
55,37956.1055,11275.7783,49231.8828
56,37853.7930,11172.4834,49026.2773
57,37755.5664,11072.7979,48828.3633
58,37661.1133,10976.4541,48637.5664
59,37570.1406,10883.2090,48453.3516
60,37482.4062,10792.8477,48275.2539
61,37397.6836,10705.1680,48102.8516
62,37315.7344,10619.9912,47935.7266
63,37236.3594,10537.1621,47773.5234
64,37159.4219,10456.5400,47615.9609
65,37084.7305,10378.0020,47462.7344
66,37012.1602,10301.4492,47313.6094
67,36941.5664,10226.7930,47168.3594
68,36872.8086,10153.9609,47026.7695
69,36805.7969,10082.8877,46888.6836
70,36740.3867,10013.5176,46753.9062
71,36676.5117,9945.7988,46622.3125
72,36614.0742,9879.6758,46493.7500
73,36552.9766,9815.0957,46368.0703
74,36493.1562,9752.0000,46245.1562
75,36434.5352,9690.3311,46124.8672
76,36377.0430,9630.0244,46007.0664
77,36320.6328,9571.0186,45891.6523
78,36265.2578,9513.2461,45778.5039
79,36210.8555,9456.6504,45667.5078
80,36157.4062,9401.1670,45558.5742
81,36104.8750,9346.7432,45451.6172
82,36053.2148,9293.3242,45346.5391
83,36002.4023,9240.8633,45243.2656
84,35952.4141,9189.3164,45141.7305
85,35903.2031,9138.6426,45041.8438
86,35854.7773,9088.8047,44943.5820
87,35807.1211,9039.7637,44846.8828
88,35760.1836,8991.4844,44751.6680
89,35713.9531,8943.9336,44657.8867
90,35668.4180,8897.0762,44565.4922
91,35623.5781,8850.8789,44474.4570
92,35579.3711,8805.3066,44384.6797
93,35535.8047,8760.3262,44296.1328
94,35492.8633,8715.9043,44208.7656
95,35450.5156,8672.0107,44122.5273
96,35408.7539,8628.6143,44037.3672
97,35367.5469,8585.6904,43953.2383
98,35326.8984,8543.2188,43870.1172
99,35286.7617,8501.1777,43787.9375
100,35247.1523,8459.5586,43706.7109
101,35208.0391,8418.3516,43626.3906
102,35169.3906,8377.5596,43546.9492
103,35131.2383,8337.1816,43468.4219
104,35093.5195,8297.2275,43390.7461
105,35056.2617,8257.7129,43313.9766
106,35019.4258,8218.6475,43238.0742
107,34983.0273,8180.0537,43163.0820
108,34947.0312,8141.9448,43088.9766
109,34911.4609,8104.3389,43015.8008
110,34876.2969,8067.2490,42943.5469
111,34841.5156,8030.6865,42872.2031
112,34807.1562,7994.6631,42801.8203
113,34773.1562,7959.1855,42732.3438
114,34739.5312,7924.2578,42663.7891
115,34706.3086,7889.8833,42596.1914
116,34673.4492,7856.0654,42529.5156
117,34640.9531,7822.8052,42463.7578
118,34608.8164,7790.0996,42398.9141
119,34577.0156,7757.9478,42334.9648
120,34545.5938,7726.3472,42271.9414
121,34514.5039,7695.2930,42209.7969
122,34483.7461,7664.7793,42148.5234
123,34453.3242,7634.8013,42088.1250
124,34423.2305,7605.3525,42028.5820
125,34393.4531,7576.4268,41969.8789
126,34363.9883,7548.0127,41912.0000
127,34334.8516,7520.1050,41854.9570
128,34306.0117,7492.6919,41798.7031
129,34277.4844,7465.7637,41743.2500
130,34249.2500,7439.3066,41688.5547
131,34221.3516,7413.3101,41634.6602
132,34193.7383,7387.7593,41581.4961
133,34166.4453,7362.6416,41529.0859
134,34139.4414,7337.9443,41477.3867
135,34112.7656,7313.6489,41426.4141
136,34086.4219,7289.7451,41376.1680
137,34060.3828,7266.2188,41326.6016
138,34034.6992,7243.0566,41277.7578
139,34009.3242,7220.2485,41229.5742
140,33984.2891,7197.7817,41182.0703
141,33959.5742,7175.6460,41135.2188
142,33935.1836,7153.8330,41089.0156
143,33911.1094,7132.3301,41043.4375
144,33887.3711,7111.1294,40998.5000
145,33863.9336,7090.2202,40954.1523
146,33840.7930,7069.5947,40910.3867
147,33817.9531,7049.2407,40867.1953
148,33795.3867,7029.1514,40824.5391
149,33773.1055,7009.3169,40782.4219
150,33751.0938,6989.7319,40740.8242
151,33729.3359,6970.3853,40699.7227
152,33707.8203,6951.2720,40659.0938
153,33686.5664,6932.3838,40618.9492
154,33665.5391,6913.7148,40579.2539
155,33644.7422,6895.2603,40540.0039
156,33624.1562,6877.0122,40501.1680
157,33603.7969,6858.9648,40462.7617
158,33583.6328,6841.1123,40424.7461
159,33563.6680,6823.4492,40387.1172
160,33543.9141,6805.9707,40349.8828
161,33524.3555,6788.6714,40313.0273
162,33504.9961,6771.5483,40276.5430
163,33485.8281,6754.5952,40240.4219
164,33466.8711,6737.8110,40204.6836
165,33448.1133,6721.1924,40169.3047
166,33429.5664,6704.7354,40134.3008
167,33411.2188,6688.4370,40099.6562
168,33393.0820,6672.2969,40065.3789
169,33375.1680,6656.3115,40031.4805
170,33357.4648,6640.4800,39997.9453
171,33339.9609,6624.8008,39964.7617
172,33322.6758,6609.2734,39931.9492
173,33305.5898,6593.8979,39899.4883
174,33288.7070,6578.6729,39867.3789
175,33272.0234,6563.5977,39835.6211
176,33255.5273,6548.6729,39804.1992
177,33239.2266,6533.8940,39773.1211
178,33223.1094,6519.2627,39742.3711
179,33207.1680,6504.7783,39711.9453
180,33191.4219,6490.4346,39681.8555
181,33175.8438,6476.2358,39652.0781
182,33160.4297,6462.1787,39622.6094
183,33145.2031,6448.2607,39593.4648
184,33130.1289,6434.4810,39564.6094
185,33115.2344,6420.8379,39536.0703
186,33100.4883,6407.3306,39507.8203
187,33085.9297,6393.9551,39479.8828
188,33071.5078,6380.7114,39452.2188
189,33057.2500,6367.5962,39424.8477
190,33043.1523,6354.6050,39397.7578
191,33029.1992,6341.7383,39370.9375
192,33015.4023,6328.9922,39344.3945
193,33001.7383,6316.3628,39318.1016
194,32988.2148,6303.8481,39292.0625
195,32974.8398,6291.4502,39266.2891
196,32961.6055,6279.1626,39240.7695
197,32948.4961,6266.9873,39215.4844
198,32935.5117,6254.9209,39190.4336
199,32922.6641,6242.9648,39165.6289
200,32909.9414,6231.1157,39141.0586
201,32897.3438,6219.3745,39116.7188
202,32884.8672,6207.7393,39092.6055
203,32872.5234,6196.2070,39068.7305
204,32860.2812,6184.7759,39045.0586
205,32848.1758,6173.4438,39021.6211
206,32836.1992,6162.2104,38998.4102
207,32824.3398,6151.0737,38975.4141
208,32812.5977,6140.0312,38952.6289
209,32800.9844,6129.0801,38930.0625
210,32789.4844,6118.2207,38907.7031
211,32778.1211,6107.4507,38885.5703
212,32766.8555,6096.7676,38863.6250
213,32755.7109,6086.1694,38841.8789
214,32744.6816,6075.6562,38820.3359
215,32733.7598,6065.2246,38798.9844
216,32722.9473,6054.8735,38777.8203
217,32712.2383,6044.6006,38756.8398
218,32701.6426,6034.4033,38736.0469
219,32691.1504,6024.2827,38715.4336
220,32680.7559,6014.2354,38694.9922
221,32670.4707,6004.2568,38674.7266
222,32660.2852,5994.3501,38654.6367
223,32650.1953,5984.5127,38634.7070
224,32640.2148,5974.7441,38614.9609
225,32630.3340,5965.0449,38595.3789
226,32620.5547,5955.4160,38575.9688
227,32610.8828,5945.8579,38556.7422
228,32601.3125,5936.3730,38537.6875
229,32591.8457,5926.9634,38518.8086
230,32582.4844,5917.6260,38500.1094
231,32573.2246,5908.3643,38481.5898
232,32564.0625,5899.1763,38463.2383
233,32554.9922,5890.0596,38445.0508
234,32546.0176,5881.0137,38427.0312
235,32537.1387,5872.0391,38409.1797
236,32528.3496,5863.1343,38391.4844
237,32519.6367,5854.2993,38373.9375
238,32511.0117,5845.5312,38356.5430
239,32502.4727,5836.8335,38339.3047
240,32494.0215,5828.2036,38322.2266
241,32485.6348,5819.6421,38305.2773
242,32477.3340,5811.1494,38288.4844
243,32469.1094,5802.7271,38271.8359
244,32460.9590,5794.3726,38255.3320
245,32452.8809,5786.0869,38238.9688
246,32444.8770,5777.8696,38222.7461
247,32436.9414,5769.7202,38206.6602
248,32429.0781,5761.6396,38190.7188
249,32421.2852,5753.6265,38174.9102
250,32413.5664,5745.6807,38159.2461
251,32405.9062,5737.8018,38143.7070
252,32398.3105,5729.9902,38128.3008
253,32390.7969,5722.2441,38113.0391
254,32383.3379,5714.5645,38097.9023
255,32375.9355,5706.9507,38082.8867
256,32368.6074,5699.4023,38068.0078
257,32361.3379,5691.9194,38053.2578
258,32354.1270,5684.5010,38038.6289
259,32346.9766,5677.1465,38024.1250
260,32339.8809,5669.8564,38009.7383
261,32332.8535,5662.6294,37995.4844
262,32325.8789,5655.4658,37981.3438
263,32318.9512,5648.3643,37967.3164
264,32312.0742,5641.3276,37953.4023
265,32305.2539,5634.3525,37939.6055
266,32298.4668,5627.4438,37925.9102
267,32291.7109,5620.5991,37912.3086
