epoch,SPTC,MSTC,not_reached,loss
0,32096.5586,5422.2217,0.0000,37518.7812
1,32091.4590,5416.9224,0.0000,37508.3828
2,32086.4121,5411.6582,0.0000,37498.0703
3,32081.3965,5406.4297,0.0000,37487.8281
4,32076.4199,5401.2363,0.0000,37477.6562
5,32071.4824,5396.0767,0.0000,37467.5586
6,32066.5918,5390.9507,0.0000,37457.5430
7,32061.7266,5385.8589,0.0000,37447.5859
8,32056.9062,5380.7988,0.0000,37437.7031
9,32052.1270,5375.7720,0.0000,37427.8984
10,32047.3809,5370.7764,0.0000,37418.1562
11,32042.6641,5365.8125,0.0000,37408.4766
12,32037.9883,5360.8789,0.0000,37398.8672
13,32033.3496,5355.9751,0.0000,37389.3242
14,32028.7383,5351.1021,0.0000,37379.8398
15,32024.1680,5346.2598,0.0000,37370.4297
16,32019.6348,5341.4448,0.0000,37361.0781
17,32015.1250,5336.6592,0.0000,37351.7852
18,32010.6484,5331.9009,0.0000,37342.5508
19,32006.2070,5327.1709,0.0000,37333.3789
20,32001.8047,5322.4673,0.0000,37324.2734
21,31997.4277,5317.7910,0.0000,37315.2188
22,31993.0781,5313.1411,0.0000,37306.2188
23,31988.7637,5308.5176,0.0000,37297.2812
24,31984.4805,5303.9189,0.0000,37288.3984
25,31980.2266,5299.3452,0.0000,37279.5703
26,31976.0039,5294.7954,0.0000,37270.8008
27,31971.8066,5290.2705,0.0000,37262.0781
28,31967.6406,5285.7690,0.0000,37253.4102
29,31963.5039,5281.2896,0.0000,37244.7930
30,31959.3945,5276.8330,0.0000,37236.2266
31,31955.3086,5272.3984,0.0000,37227.7070
32,31951.2539,5267.9849,0.0000,37219.2383
33,31947.2246,5263.5928,0.0000,37210.8164
34,31943.2402,5259.2212,0.0000,37202.4609
35,31939.2656,5254.8691,0.0000,37194.1328
36,31935.3262,5250.5356,0.0000,37185.8633
37,31931.4043,5246.2212,0.0000,37177.6250
38,31927.5176,5241.9243,0.0000,37169.4414
39,31923.6523,5237.6450,0.0000,37161.2969
40,31919.8203,5233.3818,0.0000,37153.2031
41,31916.0000,5229.1357,0.0000,37145.1367
42,31912.2148,5224.9033,0.0000,37137.1172
