epoch,SPTC,MSTC,loss
0,2362449.7500,510306.6250,2872756.5000
1,1720900.0000,438488.1875,2159388.2500
2,1271228.3750,376742.5938,1647971.0000
3,956038.5625,323945.5312,1279984.1250
4,733210.3750,278975.9688,1012186.3750
5,573472.3750,240754.0625,814226.4375
6,457075.8750,208294.2031,665370.0625
7,370823.7188,180732.5625,551556.2500
8,305872.6562,157330.2812,463202.9375
9,256227.1562,137461.1875,393688.3438
10,217761.0781,120594.5859,338355.6562
11,187588.1562,106279.2656,293867.4375
12,163654.0469,94129.5312,257783.5781
13,144474.4062,83814.4688,228288.8750
14,128960.3906,75049.5938,204009.9844
15,116301.4922,67591.7266,183893.2188
16,105887.6641,61233.3633,167121.0312
17,97254.1719,55798.7852,153052.9531
18,90044.0000,51139.6172,141183.6250
19,83979.9531,47131.3164,131111.2656
20,78845.5000,43669.8047,122515.3047
21,74470.0391,40668.3555,115138.3906
22,70718.3125,38054.9531,108773.2656
23,67482.4844,35769.6406,103252.1250
24,64675.9375,33762.6055,98438.5469
25,62228.5938,31992.4121,94221.0078
26,60083.5039,30424.4805,90507.9844
27,58193.9570,29029.8652,87223.8203
28,56521.6602,27784.3926,84306.0547
29,55034.9336,26667.6973,81702.6328
30,53707.3711,25662.6094,79369.9844
31,52516.9609,24754.5977,77271.5625
32,51445.2266,23931.2734,75376.5000
33,50476.5820,23182.0391,73658.6250
34,49597.8398,22497.8398,72095.6797
35,48797.6953,21870.9336,70668.6250
36,48066.5352,21294.6133,69361.1484
37,47396.2266,20763.0508,68159.2812
38,46779.6680,20271.2031,67050.8750
39,46210.7266,19814.6914,66025.4219
40,45684.1445,19389.6152,65073.7578
41,45195.3320,18992.5762,64187.9062
42,44740.2734,18620.6035,63360.8750
43,44315.5000,18271.0723,62586.5703
44,43917.8789,17941.6270,61859.5078
45,43544.6953,17630.1992,61174.8945
46,43193.5391,17334.9727,60528.5117
47,42862.2812,17054.3066,59916.5859
48,42549.0039,16786.7734,59335.7773
49,42251.9805,16531.0957,58783.0781
50,41969.7109,16286.1289,58255.8398
51,41700.8594,16050.8760,57751.7344
52,41444.1914,15824.4473,57268.6406
53,41198.6094,15606.0762,56804.6875
54,40963.1523,15395.0859,56358.2383
55,40736.9766,15190.9111,55927.8867
56,40519.3320,14993.0576,55512.3906
57,40309.6055,14801.1094,55110.7148
58,40107.2461,14614.7197,54721.9648
59,39911.7930,14433.5869,54345.3789
60,39722.8477,14257.4580,53980.3047
61,39540.0195,14086.1094,53626.1289
62,39363.0234,13919.3457,53282.3672
63,39191.5547,13756.9941,52948.5469
64,39025.3438,13598.9092,52624.2539
65,38864.1328,13444.9561,52309.0898
66,38707.6875,13295.0117,52002.6992
67,38555.7852,13148.9785,51704.7656
68,38408.1250,13006.7500,51414.8750
69,38264.5000,12868.2373,51132.7383
70,38124.6523,12733.3623,50858.0156
71,37988.3906,12602.0449,50590.4375
72,37855.4688,12474.2217,50329.6914
73,37725.7461,12349.8135,50075.5586
74,37599.0234,12228.7510,49827.7734
75,37475.2266,12110.9580,49586.1836
76,37354.1992,11996.3457,49350.5469
77,37235.8906,11884.8096,49120.6992
78,37120.1602,11776.2471,48896.4062
79,37006.9766,11670.5430,48677.5195
80,36896.1914,11567.5742,48463.7656
81,36787.7539,11467.2119,48254.9648
82,36681.5430,11369.3213,48050.8633
83,36577.4648,11273.7656,47851.2305
84,36475.4062,11180.4023,47655.8086
85,36375.3125,11089.1123,47464.4258
86,36277.0820,10999.7637,47276.8438
87,36180.6406,10912.2402,47092.8828
88,36085.9062,10826.4463,46912.3516
89,35992.8242,10742.3008,46735.1250
90,35901.2930,10659.7422,46561.0352
91,35811.2109,10578.7168,46389.9297
92,35722.5156,10499.1777,46221.6953
93,35635.1484,10421.0723,46056.2188
94,35549.0664,10344.3613,45893.4297
95,35464.2344,10269.0020,45733.2344
96,35380.6094,10194.9629,45575.5703
97,35298.1797,10122.2148,45420.3945
98,35216.8945,10050.7295,45267.6250
99,35136.7188,9980.4902,45117.2109
100,35057.6133,9911.4727,44969.0859
101,34979.5938,9843.6592,44823.2539
102,34902.6328,9777.0332,44679.6641
103,34826.7305,9711.5781,44538.3086
104,34751.9336,9647.2725,44399.2070
105,34678.2383,9584.0918,44262.3281
106,34605.6680,9522.0195,44127.6875
107,34534.2344,9461.0352,43995.2695
108,34463.9414,9401.1133,43865.0547
109,34394.7773,9342.2363,43737.0156
110,34326.7578,9284.3799,43611.1367
111,34259.8086,9227.5244,43487.3320
112,34193.9688,9171.6523,43365.6211
113,34129.1719,9116.7529,43245.9258
114,34065.4141,9062.8086,43128.2227
115,34002.6758,9009.7959,43012.4727
116,33940.9336,8957.6816,42898.6172
117,33880.1367,8906.4375,42786.5742
118,33820.2969,8856.0303,42676.3281
119,33761.3828,8806.4287,42567.8125
120,33703.3906,8757.6006,42460.9922
121,33646.3164,8709.5176,42355.8359
122,33590.1289,8662.1543,42252.2812
123,33534.8320,8615.4863,42150.3203
124,33480.4023,8569.4961,42049.8984
125,33426.7695,8524.1670,41950.9375
126,33373.9414,8479.4873,41853.4297
127,33321.8359,8435.4453,41757.2812
128,33270.4258,8392.0361,41662.4609
129,33219.6914,8349.2480,41568.9375
130,33169.6172,8307.0693,41476.6875
131,33120.1875,8265.4824,41385.6719
132,33071.4023,8224.4707,41295.8750
133,33023.2461,8184.0176,41207.2656
134,32975.7422,8144.1035,41119.8438
135,32928.8750,8104.7129,41033.5859
136,32882.6641,8065.8330,40948.4961
137,32837.0938,8027.4443,40864.5391
138,32792.1367,7989.5283,40781.6641
139,32747.7910,7952.0645,40699.8555
140,32704.0293,7915.0342,40619.0625
141,32660.8320,7878.4170,40539.2500
142,32618.1914,7842.1948,40460.3867
143,32576.0781,7806.3535,40382.4297
144,32534.5000,7770.8760,40305.3750
145,32493.4082,7735.7471,40229.1562
146,32452.8281,7700.9541,40153.7812
147,32412.7285,7666.4839,40079.2109
148,32373.0996,7632.3262,40005.4258
149,32333.9531,7598.4761,39932.4297
150,32295.2812,7564.9321,39860.2148
151,32257.0977,7531.6943,39788.7930
152,32219.3867,7498.7642,39718.1523
153,32182.1445,7466.1353,39648.2812
154,32145.3770,7433.8086,39579.1875
155,32109.0703,7401.7773,39510.8477
156,32073.2246,7370.0371,39443.2617
157,32037.8223,7338.5874,39376.4102
158,32002.8652,7307.4307,39310.2969
159,31968.3496,7276.5703,39244.9219
160,31934.2520,7246.0156,39180.2656
161,31900.5801,7215.7773,39116.3594
162,31867.3066,7185.8633,39053.1719
163,31834.4219,7156.2803,38990.7031
164,31801.9180,7127.0293,38928.9453
165,31769.7656,7098.1094,38867.8750
166,31737.9629,7069.5156,38807.4766
167,31706.4902,7041.2397,38747.7305
168,31675.3320,7013.2734,38688.6055
169,31644.4883,6985.6040,38630.0938
170,31613.9453,6958.2217,38572.1680
171,31583.7051,6931.1182,38514.8242
172,31553.7520,6904.2866,38458.0391
173,31524.0781,6877.7246,38401.8047
174,31494.7012,6851.4336,38346.1328
175,31465.5996,6825.4136,38291.0117
176,31436.7754,6799.6655,38236.4414
177,31408.2246,6774.1880,38182.4141
178,31379.9395,6748.9775,38128.9180
179,31351.9316,6724.0269,38075.9570
180,31324.1777,6699.3271,38023.5039
181,31296.6895,6674.8701,37971.5586
182,31269.4629,6650.6494,37920.1133
183,31242.4824,6626.6577,37869.1406
184,31215.7676,6602.8940,37818.6602
185,31189.2988,6579.3540,37768.6523
186,31163.0898,6556.0410,37719.1328
187,31137.1211,6532.9531,37670.0742
188,31111.4082,6510.0942,37621.5039
189,31085.9395,6487.4639,37573.4023
190,31060.7109,6465.0635,37525.7734
191,31035.7246,6442.8926,37478.6172
192,31010.9824,6420.9487,37431.9297
193,30986.4824,6399.2275,37385.7109
194,30962.2227,6377.7261,37339.9492
195,30938.1973,6356.4355,37294.6328
196,30914.4141,6335.3506,37249.7656
197,30890.8730,6314.4629,37205.3359
198,30867.5605,6293.7676,37161.3281
199,30844.4883,6273.2627,37117.7500
200,30821.6367,6252.9531,37074.5898
201,30798.9941,6232.8496,37031.8438
202,30776.5352,6212.9512,36989.4844
203,30754.2793,6193.2539,36947.5312
204,30732.2129,6173.7534,36905.9648
205,30710.3418,6154.4434,36864.7852
206,30688.6523,6135.3193,36823.9727
207,30667.1367,6116.3779,36783.5156
208,30645.7969,6097.6123,36743.4102
209,30624.6348,6079.0190,36703.6523
210,30603.6504,6060.5957,36664.2461
211,30582.8281,6042.3398,36625.1680
212,30562.1797,6024.2520,36586.4297
213,30541.6953,6006.3330,36548.0273
214,30521.3867,5988.5811,36509.9688
215,30501.2520,5970.9971,36472.2500
216,30481.2773,5953.5757,36434.8516
217,30461.4824,5936.3110,36397.7930
218,30441.8652,5919.1973,36361.0625
219,30422.4141,5902.2319,36324.6445
220,30403.1152,5885.4102,36288.5234
221,30383.9688,5868.7305,36252.6992
222,30364.9785,5852.1919,36217.1719
223,30346.1270,5835.7930,36181.9219
224,30327.4121,5819.5322,36146.9453
225,30308.8516,5803.4077,36112.2578
226,30290.4160,5787.4175,36077.8320
227,30272.1309,5771.5576,36043.6875
228,30253.9805,5755.8232,36009.8047
229,30235.9629,5740.2075,35976.1719
230,30218.0801,5724.7031,35942.7812
231,30200.3203,5709.2998,35909.6211
232,30182.6914,5693.9897,35876.6797
233,30165.1855,5678.7632,35843.9492
234,30147.8125,5663.6123,35811.4258
235,30130.5801,5648.5352,35779.1172
236,30113.4902,5633.5391,35747.0312
237,30096.5625,5618.6367,35715.1992
238,30079.8008,5603.8452,35683.6445
239,30063.2168,5589.1743,35652.3906
240,30046.7871,5574.6245,35621.4102
241,30030.5059,5560.1978,35590.7031
242,30014.3535,5545.9023,35560.2578
243,29998.3145,5531.7466,35530.0625
244,29982.3691,5517.7305,35500.1016
245,29966.5195,5503.8555,35470.3750
246,29950.7539,5490.1221,35440.8750
247,29935.0840,5476.5293,35411.6133
248,29919.5156,5463.0747,35382.5898
