epoch,SPTC,MSTC,loss
0,132830.0312,20940.7793,153770.8125
1,100375.1406,18577.7598,118952.8984
2,75346.1641,16361.7617,91707.9219
3,56524.1211,14332.2783,70856.3984
4,42621.8008,12512.7930,55134.5938
5,32458.6719,10910.7891,43369.4609
6,25052.8809,9520.5117,34573.3906
7,19641.6602,8326.9922,27968.6523
8,15659.2090,7310.1045,22969.3125
9,12697.9258,6447.8003,19145.7266
10,10468.9502,5718.3428,16187.2930
11,8769.0078,5101.6128,13870.6211
12,7455.0674,4579.7446,12034.8125
13,6426.0166,4137.2930,10563.3096
14,5609.8159,3761.1501,9370.9658
15,4954.6372,3440.3318,8394.9688
16,4422.7705,3165.6965,7588.4668
17,3986.4624,2929.6748,6916.1372
18,3625.0520,2726.0154,6351.0674
19,3322.9749,2549.5544,5872.5293
20,3068.3721,2396.0259,5464.3979
21,2852.1218,2261.9036,5114.0254
22,2667.1213,2144.2576,4811.3789
23,2507.7961,2040.6570,4548.4531
24,2369.7263,1949.0695,4318.7959
25,2249.3811,1867.7991,4117.1802
26,2143.9126,1795.4182,3939.3308
27,2051.0078,1730.7253,3781.7332
28,1968.7778,1672.7051,3641.4829
29,1895.6635,1620.4934,3516.1567
30,1830.3745,1573.3567,3403.7312
31,1771.8363,1530.6676,3302.5039
32,1719.1443,1491.8872,3211.0315
33,1671.5396,1456.5515,3128.0911
34,1628.3777,1424.2617,3052.6394
35,1589.1097,1394.6713,2983.7810
36,1553.2673,1367.4788,2920.7461
37,1520.4475,1342.4224,2862.8699
38,1490.3036,1319.2734,2809.5771
39,1462.5347,1297.8312,2760.3657
40,1436.8809,1277.9192,2714.8000
41,1413.1144,1259.3831,2672.4976
42,1391.0365,1242.0850,2633.1216
43,1370.4731,1225.9047,2596.3779
44,1351.2717,1210.7346,2562.0063
45,1333.2974,1196.4794,2529.7769
46,1316.4302,1183.0541,2499.4844
47,1300.5658,1170.3833,2470.9492
48,1285.6095,1158.3995,2444.0090
49,1271.4789,1147.0425,2418.5215
50,1258.0988,1136.2576,2394.3564
51,1245.4034,1125.9966,2371.3999
52,1233.3339,1116.2161,2349.5498
53,1221.8362,1106.8760,2328.7122
54,1210.8638,1097.9419,2308.8057
55,1200.3733,1089.3815,2289.7549
56,1190.3259,1081.1655,2271.4915
57,1180.6876,1073.2688,2253.9565
58,1171.4265,1065.6670,2237.0935
59,1162.5146,1058.3391,2220.8538
60,1153.9265,1051.2656,2205.1921
61,1145.6385,1044.4290,2190.0674
62,1137.6298,1037.8130,2175.4429
63,1129.8821,1031.4036,2161.2856
64,1122.3770,1025.1868,2147.5637
65,1115.0992,1019.1512,2134.2505
66,1108.0349,1013.2854,2121.3203
67,1101.1702,1007.5792,2108.7493
68,1094.4937,1002.0237,2096.5173
69,1087.9940,996.6101,2084.6040
70,1081.6616,991.3311,2072.9927
71,1075.4873,986.1791,2061.6665
72,1069.4629,981.1482,2050.6111
73,1063.5802,976.2317,2039.8119
74,1057.8325,971.4247,2029.2572
75,1052.2131,966.7217,2018.9348
76,1046.7162,962.1180,2008.8342
77,1041.3367,957.6093,1998.9459
78,1036.0684,953.1918,1989.2601
79,1030.9073,948.8615,1979.7688
80,1025.8490,944.6151,1970.4641
81,1020.8896,940.4494,1961.3390
82,1016.0248,936.3613,1952.3861
83,1011.2515,932.3479,1943.5994
84,1006.5663,928.4070,1934.9733
85,1001.9659,924.5355,1926.5015
86,997.4481,920.7318,1918.1799
87,993.0095,916.9934,1910.0029
88,988.6479,913.3182,1901.9661
89,984.3610,909.7046,1894.0657
90,980.1467,906.1508,1886.2974
91,976.0023,902.6547,1878.6570
92,971.9263,899.2148,1871.1411
93,967.9167,895.8301,1863.7468
94,963.9719,892.4987,1856.4706
95,960.0901,889.2194,1849.3096
96,956.2695,885.9907,1842.2603
97,952.5087,882.8114,1835.3201
98,948.8063,879.6805,1828.4868
99,945.1609,876.5967,1821.7576
100,941.5709,873.5591,1815.1300
101,938.0355,870.5665,1808.6021
102,934.5532,867.6180,1802.1711
103,931.1228,864.7125,1795.8353
104,927.7432,861.8491,1789.5923
105,924.4134,859.0270,1783.4404
106,921.1320,856.2452,1777.3772
107,917.8984,853.5032,1771.4016
108,914.7115,850.7997,1765.5112
109,911.5703,848.1340,1759.7043
110,908.4739,845.5058,1753.9797
111,905.4213,842.9141,1748.3354
112,902.4116,840.3579,1742.7695
113,899.4445,837.8369,1737.2814
114,896.5186,835.3505,1731.8691
115,893.6334,832.8976,1726.5310
116,890.7880,830.4779,1721.2659
117,887.9818,828.0908,1716.0725
118,885.2140,825.7356,1710.9496
119,882.4837,823.4116,1705.8953
120,879.7904,821.1184,1700.9088
121,877.1334,818.8553,1695.9886
122,874.5118,816.6218,1691.1337
123,871.9257,814.4177,1686.3433
124,869.3736,812.2418,1681.6155
125,866.8555,810.0943,1676.9497
126,864.3706,807.9743,1672.3450
127,861.9182,805.8815,1667.7997
128,859.4979,803.8153,1663.3132
129,857.1091,801.7753,1658.8844
130,854.7513,799.7609,1654.5122
131,852.4239,797.7719,1650.1958
132,850.1261,795.8078,1645.9338
133,847.8577,793.8679,1641.7256
134,845.6184,791.9523,1637.5707
135,843.4075,790.0602,1633.4678
136,841.2245,788.1913,1629.4159
137,839.0688,786.3453,1625.4141
138,836.9402,784.5219,1621.4620
139,834.8382,782.7205,1617.5586
140,832.7623,780.9408,1613.7031
141,830.7120,779.1826,1609.8945
142,828.6870,777.4453,1606.1323
143,826.6869,775.7288,1602.4158
144,824.7114,774.0327,1598.7441
145,822.7597,772.3567,1595.1165
146,820.8318,770.7006,1591.5323
147,818.9271,769.0636,1587.9907
148,817.0454,767.4460,1584.4915
149,815.1863,765.8472,1581.0336
150,813.3495,764.2670,1577.6165
151,811.5344,762.7052,1574.2396
152,809.7406,761.1611,1570.9017
153,807.9683,759.6350,1567.6033
154,806.2167,758.1262,1564.3430
155,804.4858,756.6350,1561.1208
156,802.7750,755.1605,1557.9355
157,801.0841,753.7028,1554.7869
158,799.4128,752.2617,1551.6746
159,797.7608,750.8367,1548.5974
160,796.1277,749.4279,1545.5557
161,794.5134,748.0348,1542.5482
162,792.9175,746.6572,1539.5747
163,791.3398,745.2952,1536.6350
164,789.7801,743.9482,1533.7283
165,788.2377,742.6161,1530.8538
166,786.7129,741.2988,1528.0117
167,785.2051,739.9960,1525.2012
168,783.7142,738.7076,1522.4219
169,782.2399,737.4333,1519.6732
170,780.7819,736.1730,1516.9548
171,779.3400,734.9264,1514.2664
172,777.9140,733.6932,1511.6072
173,776.5035,732.4736,1508.9771
174,775.1088,731.2671,1506.3759
175,773.7289,730.0737,1503.8025
176,772.3642,728.8929,1501.2571
177,771.0141,727.7249,1498.7390
178,769.6786,726.5695,1496.2480
179,768.3575,725.4261,1493.7837
180,767.0505,724.2950,1491.3455
181,765.7573,723.1758,1488.9331
182,764.4780,722.0686,1486.5466
183,763.2122,720.9730,1484.1851
184,761.9597,719.8887,1481.8484
185,760.7203,718.8159,1479.5361
186,759.4940,717.7542,1477.2480
187,758.2805,716.7034,1474.9839
188,757.0795,715.6636,1472.7432
189,755.8910,714.6344,1470.5254
190,754.7146,713.6159,1468.3306
191,753.5505,712.6077,1466.1582
192,752.3983,711.6097,1464.0081
193,751.2577,710.6219,1461.8796
194,750.1288,709.6442,1459.7729
195,749.0112,708.6761,1457.6874
196,747.9052,707.7180,1455.6232
197,746.8099,706.7693,1453.5792
198,745.7259,705.8300,1451.5559
199,744.6526,704.9000,1449.5526
200,743.5899,703.9792,1447.5691
201,742.5379,703.0676,1445.6055
202,741.4962,702.1649,1443.6611
203,740.4647,701.2709,1441.7356
204,739.4434,700.3857,1439.8291
205,738.4321,699.5090,1437.9412
206,737.4305,698.6408,1436.0713
207,736.4387,697.7808,1434.2195
208,735.4565,696.9293,1432.3857
209,734.4838,696.0857,1430.5695
210,733.5203,695.2502,1428.7705
211,732.5661,694.4225,1426.9886
212,731.6212,693.6027,1425.2239
213,730.6850,692.7906,1423.4756
214,729.7578,691.9861,1421.7439
215,728.8392,691.1891,1420.0283
216,727.9294,690.3995,1418.3290
217,727.0280,689.6172,1416.6453
218,726.1351,688.8420,1414.9771
219,725.2504,688.0740,1413.3245
220,724.3740,687.3131,1411.6871
221,723.5057,686.5591,1410.0647
222,722.6454,685.8119,1408.4573
223,721.7930,685.0714,1406.8644
224,720.9482,684.3376,1405.2858
225,720.1114,683.6105,1403.7219
226,719.2821,682.8898,1402.1719
227,718.4601,682.1755,1400.6356
228,717.6456,681.4675,1399.1130
229,716.8387,680.7658,1397.6045
230,716.0388,680.0703,1396.1091
231,715.2462,679.3809,1394.6271
232,714.4604,678.6975,1393.1580
233,713.6818,678.0201,1391.7019
234,712.9100,677.3486,1390.2585
235,712.1450,676.6829,1388.8279
236,711.3867,676.0229,1387.4097
237,710.6352,675.3687,1386.0039
238,709.8900,674.7198,1384.6099
239,709.1514,674.0768,1383.2283
240,708.4193,673.4390,1381.8582
241,707.6934,672.8068,1380.5001
242,706.9737,672.1797,1379.1534
243,706.2604,671.5580,1377.8184
244,705.5531,670.9416,1376.4946
245,704.8518,670.3303,1375.1821
246,704.1565,669.7241,1373.8806
247,703.4670,669.1228,1372.5898
248,702.7836,668.5266,1371.3103
249,702.1057,667.9352,1370.0410
250,701.4335,667.3488,1368.7822
251,700.7670,666.7671,1367.5341
252,700.1061,666.1902,1366.2964
253,699.4506,665.6180,1365.0686
254,698.8007,665.0504,1363.8511
255,698.1561,664.4873,1362.6433
256,697.5167,663.9290,1361.4456
257,696.8826,663.3749,1360.2574
258,696.2538,662.8253,1359.0791
259,695.6300,662.2802,1357.9102
260,695.0114,661.7393,1356.7506
261,694.3976,661.2026,1355.6003
262,693.7890,660.6704,1354.4595
263,693.1851,660.1422,1353.3274
264,692.5862,659.6182,1352.2043
265,691.9922,659.0982,1351.0903
266,691.4028,658.5824,1349.9851
267,690.8182,658.0706,1348.8887
268,690.2382,657.5627,1347.8008
269,689.6627,657.0587,1346.7213
270,689.0917,656.5586,1345.6503
271,688.5253,656.0623,1344.5876
272,687.9633,655.5698,1343.5332
273,687.4058,655.0812,1342.4871
274,686.8528,654.5962,1341.4490
275,686.3039,654.1148,1340.4187
276,685.7591,653.6371,1339.3962
277,685.2186,653.1631,1338.3817
278,684.6824,652.6925,1337.3749
279,684.1501,652.2255,1336.3757
280,683.6221,651.7620,1335.3840
281,683.0981,651.3019,1334.3999
282,682.5780,650.8452,1333.4232
283,682.0619,650.3919,1332.4539
284,681.5497,649.9419,1331.4916
285,681.0414,649.4953,1330.5366
286,680.5369,649.0519,1329.5887
287,680.0361,648.6118,1328.6479
288,679.5392,648.1749,1327.7141
289,679.0459,647.7411,1326.7870
290,678.5562,647.3104,1325.8667
291,678.0703,646.8829,1324.9531
292,677.5878,646.4585,1324.0464
293,677.1091,646.0371,1323.1462
294,676.6337,645.6187,1322.2524
295,676.1619,645.2034,1321.3652
296,675.6935,644.7908,1320.4844
297,675.2286,644.3813,1319.6100
298,674.7670,643.9747,1318.7417
299,674.3088,643.5710,1317.8799
